Hito [UY866647391],Fecha y Hora,Ubicación,Nota
Nacimiento,2018-04-01 12:42,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2018-04-02 14:39,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2018-04-03 11:50,Corral de terneros / guachera,Separacion para manejo individual.
Control de ombligo y signos vitales,2018-04-04 09:38,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2018-04-05 06:59,Oficina / app,Registro del nacimiento.
Colocacion de caravana oficial,2018-04-06 10:03,Manga / campo,Identificacion oficial.
Vacunas iniciales,2018-04-09 16:31,Manga / campo,Plan sanitario local.
Revision general de salud,2018-04-21 07:29,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2018-05-11 06:23,Oficina / app,Cierre de registro.
Guachera (cria artificial),2018-05-18 06:52,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2018-05-31 14:59,Potrero 2 (7654321-12003),Vacunacion clostridial
Destete,2018-06-08 14:02,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2018-06-30 10:14,Potrero 2 (7654321-12003),Antiparasitario programado.
Vacunacion clostridial,2018-06-30 17:16,Potrero 2 (7654321-12003),Vacunacion clostridial
Recria,2018-08-05 10:04,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2018-10-18 14:06,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2018-12-27 09:54,Potrero 2 (7654321-12003),Antiparasitario programado.
Primer Celo,2019-01-19 14:24,Potrero 2 (7654321-12003),Primer celo detectado.
Segundo Celo,2019-02-06 09:12,Potrero 2 (7654321-12003),Segundo celo detectado.
Servicio (IA o natural),2019-02-22 09:36,Potrero 2 (7654321-12003),Servicio exitoso.
Tercer Celo,2019-02-22 14:42,Potrero 2 (7654321-12003),Tercer celo detectado.
Prenez confirmada,2019-04-23 16:11,Potrero 2 (7654321-12003),Diagnostico de gestacion.
Desparasitacion,2019-06-25 11:01,Potrero 2 (7654321-12003),Antiparasitario programado.
Vacunacion clostridial,2019-06-30 11:28,Potrero 2 (7654321-12003),Refuerzo anual clostridial.
Primer servicio (hembras),2019-07-07 17:14,Campo / brete / veterinario,Inicio de vida reproductiva.
