Hito [UY634036506],Fecha y Hora,Ubicación,Nota
Primer calostro,2025-08-16 06:53,Corral o potrero,Asegurar calostrado.
Nacimiento,2025-08-16 11:04,Potrero / corral de maternidad,Registro del nacimiento.
Separacion de la madre,2025-08-18 18:03,Corral de terneros / guachera,Separacion para manejo individual.
Ingreso al sistema (SNIG),2025-08-21 11:54,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2025-08-21 14:09,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2025-08-21 14:12,Manga / campo,Identificacion oficial.
Vacunas iniciales,2025-08-29 13:07,Manga / campo,Plan sanitario local.
Revision general de salud,2025-09-02 09:45,Campo / instalaciones,Chequeo clinico.
Guachera (cria artificial),2025-09-16 08:32,Guachera,Cria artificial y control sanitario.
Carga de nacimiento en SNIG,2025-09-24 13:05,Oficina / app,Cierre de registro.
Vacunacion clostridial,2025-10-15 12:16,Potrero 4 (7654321-12005),Vacunacion clostridial
Destete,2025-10-28 13:36,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2025-11-14 06:47,Potrero 4 (7654321-12005),Vacunacion clostridial
Desparasitacion,2025-11-14 09:37,Potrero 4 (7654321-12005),Antiparasitario programado.
Recria,2025-11-17 14:29,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2025-12-03 17:01,Manga / campo,Seleccion de reposicion o descarte.
