Hito [UY602764446],Fecha y Hora,Ubicación,Nota
Primer calostro,2025-06-01 07:42,Corral o potrero,Asegurar calostrado.
Nacimiento,2025-06-01 17:10,Potrero de paricion,Registro del nacimiento.
Colocacion de caravana oficial,2025-06-02 13:59,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2025-06-07 13:20,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2025-06-07 18:51,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2025-06-09 07:57,Manga / campo,Plan sanitario local.
Revision general de salud,2025-06-10 17:57,Campo / instalaciones,Chequeo clinico.
Lactancia,2025-06-17 06:39,Campo,Permanencia con la madre.
Carga de nacimiento en SNIG,2025-07-07 18:26,Oficina / app,Cierre de registro.
Vacunacion clostridial,2025-07-31 18:23,Potrero 5 (7654321-12006),Vacunacion clostridial
Marcacion / caravanas,2025-08-16 07:02,Manga / campo,Marcacion y vacunas.
Desparasitacion,2025-08-30 06:59,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-08-30 15:40,Potrero 5 (7654321-12006),Vacunacion clostridial
Destete,2025-12-21 07:28,Potrero de destete,Separacion de la madre.
