Hitos UY7654321-000005,Fecha,Ubicación,Nota
Nacimiento (Día 0),2025-02-04,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Parto; evaluación inicial del ternero y secado.
Calostrado (Día 0),2025-02-04,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Ingesta de calostro (idealmente en las primeras 2 horas).
Identificación (Día 1),2025-02-05,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Colocación de caravana; registro DICOSE; toma de peso inicial.
Ombligo (Día 3),2025-02-07,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Desinfección y control de ombligo; prevención de onfalitis.
Control sanitario (Día 7),2025-02-11,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Chequeo general; control de diarreas neonatales y temperatura.
Cambio de dieta (Día 14),2025-02-18,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Inicio de consumo de concentrado/forraje (según sistema).
Manejo (Día 21),2025-02-25,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Descornado/descorne temprano (si aplica) y/o manejo en manga.
Desparasitación (Día 30),2025-03-06,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Primer antiparasitario (según criterio sanitario del predio).
Control 40 días (Día 40),2025-03-16,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Revisión de crecimiento; condición; ajuste de alimentación.
Destete,2025-08-03,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Fin del período de lactancia del ternero (manejo típico del sistema).
