Hito [UY149926919],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-08-07 09:19,Potrero de paricion,Registro del nacimiento.
Primer calostro,2023-08-08 07:19,Corral o potrero,Asegurar calostrado.
Control de ombligo y signos vitales,2023-08-12 08:24,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2023-08-12 16:29,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2023-08-16 07:08,Oficina / app,Registro del nacimiento.
Revision general de salud,2023-08-19 14:59,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2023-08-20 13:44,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2023-09-16 17:22,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-10-06 10:03,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2023-11-04 12:26,Manga / campo,Marcacion y vacunas.
Desparasitacion,2023-11-05 06:29,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-11-05 18:54,Potrero 6 (7654321-12007),Vacunacion clostridial
Lactancia,2023-12-04 11:27,Campo,Permanencia con la madre.
Destete,2024-03-03 06:58,Potrero de destete,Separacion de la madre.
Desparasitacion,2024-05-03 18:48,Potrero 6 (7654321-12007),Antiparasitario programado.
Primer Celo,2024-08-28 08:39,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2024-09-12 10:50,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2024-10-08 09:37,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2024-10-08 14:23,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2024-10-30 14:29,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-11-04 12:08,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Seleccion de vientres,2024-11-16 07:48,Manga / potrero,Seleccion de reposicion.
Prenez confirmada,2024-12-07 08:39,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Recria,2025-01-14 06:49,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Desparasitacion,2025-04-28 06:05,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2025-07-18 14:57,Potrero de paricion,Supervision del parto.
Lactancia,2025-07-20 15:56,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2025-10-25 06:17,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-11-04 12:42,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
