Hito [UY284027113],Fecha y Hora,Ubicación,Nota
Primer calostro,2020-05-23 08:31,Corral o potrero,Asegurar calostrado.
Nacimiento,2020-05-23 14:50,Potrero / corral de maternidad,Registro del nacimiento.
Separacion de la madre,2020-05-25 06:31,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2020-05-25 11:35,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2020-05-30 16:48,Instalaciones sanitarias,Revision sanitaria inicial.
Revision general de salud,2020-05-30 17:24,Campo / instalaciones,Chequeo clinico.
Ingreso al sistema (SNIG),2020-05-31 18:57,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2020-06-04 17:12,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2020-06-27 17:08,Oficina / app,Cierre de registro.
Guachera (cria artificial),2020-07-09 13:35,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2020-07-22 07:42,Potrero 4 (7654321-12005),Vacunacion clostridial
Destete,2020-07-31 14:44,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2020-08-21 11:26,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2020-08-21 14:52,Potrero 4 (7654321-12005),Vacunacion clostridial
Seleccion,2020-11-24 14:22,Manga / campo,Seleccion de reposicion o descarte.
Primer Celo,2021-02-10 10:55,Potrero 4 (7654321-12005),Primer celo detectado.
Desparasitacion,2021-02-17 16:20,Potrero 4 (7654321-12005),Antiparasitario programado.
Segundo Celo,2021-03-08 15:58,Potrero 4 (7654321-12005),Segundo celo detectado.
Servicio (IA o natural),2021-03-26 07:33,Potrero 4 (7654321-12005),Servicio exitoso.
Tercer Celo,2021-03-26 14:10,Potrero 4 (7654321-12005),Tercer celo detectado.
Recria,2021-04-28 09:36,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Prenez confirmada,2021-05-25 08:28,Potrero 4 (7654321-12005),Diagnostico de gestacion.
Desparasitacion,2021-08-16 07:06,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2021-08-21 12:12,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Primer servicio (hembras),2021-09-26 17:29,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2022-01-03 10:52,Potrero de maternidad,Supervision del parto.
Inicio ordene,2022-01-04 10:34,Potrero 4 (7654321-12005),Ingreso a rutina.
Lactancia,2022-01-05 11:29,Potrero 4 (7654321-12005),Inicio de lactancia.
Desparasitacion,2022-02-12 14:42,Potrero 4 (7654321-12005),Antiparasitario programado.
Primer Celo posparto,2022-02-22 06:49,Potrero 4 (7654321-12005),Retorno al celo.
Servicio (IA o natural),2022-02-22 16:32,Potrero 4 (7654321-12005),Servicio exitoso.
Prenez confirmada,2022-04-23 12:46,Potrero 4 (7654321-12005),Diagnostico de gestacion.
Desparasitacion,2022-08-11 07:02,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2022-08-21 14:43,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Paricion,2022-12-02 08:56,Potrero de maternidad,Supervision del parto.
Inicio ordene,2022-12-03 06:39,Potrero 4 (7654321-12005),Ingreso a rutina.
Lactancia,2022-12-04 11:49,Potrero 4 (7654321-12005),Inicio de lactancia.
Servicio (IA o natural),2023-01-14 15:15,Potrero 4 (7654321-12005),Servicio exitoso.
Desparasitacion,2023-02-07 08:11,Potrero 4 (7654321-12005),Antiparasitario programado.
Prenez confirmada,2023-03-15 11:46,Potrero 4 (7654321-12005),Diagnostico de gestacion.
Desparasitacion,2023-08-06 06:12,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2023-08-21 13:49,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Desparasitacion,2024-02-02 07:31,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2024-07-31 09:06,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2024-08-20 14:09,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Desparasitacion,2025-01-27 06:36,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2025-07-26 16:53,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2025-08-20 15:18,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
