Hito [UY687194506],Fecha y Hora,Ubicación,Nota
Nacimiento,2024-11-28 12:32,Potrero de paricion,Registro del nacimiento.
Primer calostro,2024-11-28 14:37,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2024-11-29 09:01,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2024-12-02 10:15,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2024-12-03 18:57,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2024-12-09 18:15,Manga / campo,Plan sanitario local.
Revision general de salud,2024-12-14 07:03,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2024-12-30 11:31,Oficina / app,Cierre de registro.
Vacunacion clostridial,2025-01-27 11:41,Potrero 5 (7654321-12006),Vacunacion clostridial
Lactancia,2025-02-11 09:09,Campo,Permanencia con la madre.
Marcacion / caravanas,2025-02-20 09:41,Manga / campo,Marcacion y vacunas.
Desparasitacion,2025-02-26 06:33,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-02-26 18:48,Potrero 5 (7654321-12006),Vacunacion clostridial
Destete,2025-05-29 09:59,Potrero de destete,Separacion de la madre.
Desparasitacion,2025-08-25 18:26,Potrero 5 (7654321-12006),Antiparasitario programado.
Recria,2025-11-16 17:56,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2025-12-14 08:17,Manga / potrero,Seleccion de reposicion.
