Hito [UY770854579],Fecha y Hora,Ubicación,Nota
Primer calostro,2018-07-03 13:06,Corral o potrero,Asegurar calostrado.
Nacimiento,2018-07-03 18:50,Potrero de paricion,Registro del nacimiento.
Control de ombligo y signos vitales,2018-07-06 08:04,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2018-07-07 11:10,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2018-07-10 15:23,Oficina / app,Registro del nacimiento.
Revision general de salud,2018-07-12 17:49,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2018-07-13 07:04,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2018-08-09 10:30,Oficina / app,Cierre de registro.
Vacunacion clostridial,2018-09-01 07:22,Potrero 5 (7654321-12006),Vacunacion clostridial
Lactancia,2018-09-06 18:56,Campo,Permanencia con la madre.
Marcacion / caravanas,2018-09-29 16:59,Manga / campo,Marcacion y vacunas.
Desparasitacion,2018-10-01 07:20,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2018-10-01 13:29,Potrero 5 (7654321-12006),Vacunacion clostridial
Destete,2019-01-07 07:36,Potrero de destete,Separacion de la madre.
Desparasitacion,2019-03-30 11:38,Potrero 5 (7654321-12006),Antiparasitario programado.
Seleccion de vientres,2019-09-09 12:26,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2019-09-26 13:13,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2019-10-01 16:34,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Primer Celo,2019-10-14 15:58,Potrero 5 (7654321-12006),Primer celo detectado.
Segundo Celo,2019-11-03 16:08,Potrero 5 (7654321-12006),Segundo celo detectado.
Recria,2019-11-04 06:23,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Tercer Celo,2019-12-02 13:23,Potrero 5 (7654321-12006),Tercer celo detectado.
Servicio (IA o natural),2019-12-02 14:54,Potrero 5 (7654321-12006),Servicio exitoso.
Prenez confirmada,2020-01-31 15:20,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2020-03-24 17:47,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2020-09-10 11:05,Potrero de paricion,Supervision del parto.
Lactancia,2020-09-12 16:26,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2020-09-20 13:07,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2020-09-30 13:06,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Servicio (IA o natural),2020-11-06 10:56,Potrero 5 (7654321-12006),Servicio exitoso.
Primer Celo posparto,2020-11-06 14:28,Potrero 5 (7654321-12006),Retorno al celo.
Prenez confirmada,2021-01-05 16:02,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2021-03-19 10:29,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2021-08-16 15:41,Potrero de paricion,Supervision del parto.
Lactancia,2021-08-18 06:47,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2021-09-15 06:34,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2021-09-30 07:11,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Servicio (IA o natural),2021-10-20 17:52,Potrero 5 (7654321-12006),Servicio exitoso.
Primer Celo posparto,2021-10-20 18:15,Potrero 5 (7654321-12006),Retorno al celo.
Prenez confirmada,2021-12-19 14:00,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2022-03-14 08:30,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2022-07-30 08:54,Potrero de paricion,Supervision del parto.
Lactancia,2022-08-01 07:18,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2022-09-10 08:40,Potrero 5 (7654321-12006),Antiparasitario programado.
Servicio (IA o natural),2022-09-20 12:10,Potrero 5 (7654321-12006),Servicio exitoso.
Vacunacion clostridial,2022-09-30 17:06,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2022-11-19 15:25,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2023-03-09 09:20,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2023-09-05 15:02,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-09-30 12:49,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2024-03-03 15:49,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2024-08-30 12:03,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-09-29 12:12,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2025-02-26 18:23,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2025-08-25 18:27,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-09-29 12:21,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Diagnostico de enfermedad,2025-12-21 09:24,Manga Potrero 5,Neumonia leve
Tratamiento en curso,2025-12-22 13:42,Manga Potrero 5,Confinamiento en manga.
