Hito [UY673715057],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-09-28 11:29,Potrero de paricion,Registro del nacimiento.
Primer calostro,2022-09-29 08:29,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2022-09-29 16:09,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2022-09-30 08:19,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2022-10-05 07:11,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2022-10-06 09:27,Manga / campo,Plan sanitario local.
Revision general de salud,2022-10-06 17:15,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2022-10-30 16:35,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-11-27 12:34,Potrero 5 (7654321-12006),Vacunacion clostridial
Marcacion / caravanas,2022-11-27 13:10,Manga / campo,Marcacion y vacunas.
Desparasitacion,2022-12-27 06:14,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2022-12-27 07:22,Potrero 5 (7654321-12006),Vacunacion clostridial
Destete,2023-04-18 07:30,Potrero de destete,Separacion de la madre.
Lactancia,2023-05-02 18:23,Campo,Permanencia con la madre.
Desparasitacion,2023-06-25 15:11,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2023-12-22 18:15,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-12-27 13:42,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Primer Celo,2023-12-31 13:42,Potrero 5 (7654321-12006),Primer celo detectado.
Segundo Celo,2024-01-23 12:53,Potrero 5 (7654321-12006),Segundo celo detectado.
Servicio (IA o natural),2024-02-14 09:48,Potrero 5 (7654321-12006),Servicio exitoso.
Tercer Celo,2024-02-14 13:45,Potrero 5 (7654321-12006),Tercer celo detectado.
Recria,2024-03-02 16:25,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2024-03-19 09:58,Manga / potrero,Seleccion de reposicion.
Prenez confirmada,2024-04-14 07:24,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2024-06-19 11:23,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2024-11-23 08:20,Potrero de paricion,Supervision del parto.
Lactancia,2024-11-25 18:59,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2024-12-16 11:32,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-12-26 17:37,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Primer Celo posparto,2025-01-21 08:25,Potrero 5 (7654321-12006),Retorno al celo.
Servicio (IA o natural),2025-01-21 18:20,Potrero 5 (7654321-12006),Servicio exitoso.
Prenez confirmada,2025-03-22 10:52,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2025-06-14 06:39,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2025-10-31 16:46,Potrero de paricion,Supervision del parto.
Lactancia,2025-11-02 12:38,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2025-12-11 15:48,Potrero 5 (7654321-12006),Antiparasitario programado.
