Hito [UY391735568],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-07-30 06:33,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2023-07-30 12:58,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2023-07-31 07:29,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2023-07-31 09:49,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2023-08-03 16:06,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2023-08-07 06:18,Oficina / app,Registro del nacimiento.
Revision general de salud,2023-08-12 11:37,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2023-08-14 16:07,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2023-08-30 11:09,Oficina / app,Cierre de registro.
Guachera (cria artificial),2023-09-23 17:42,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2023-09-28 06:47,Tambo Antonina (7654321-12001),Vacunacion clostridial
Destete,2023-10-13 13:40,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2023-10-28 07:35,Tambo Antonina (7654321-12001),Vacunacion clostridial
Desparasitacion,2023-10-28 10:11,Tambo Antonina (7654321-12001),Antiparasitario programado.
Seleccion,2023-10-30 11:02,Manga / campo,Seleccion de reposicion o descarte.
Recria,2024-03-13 15:42,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Desparasitacion,2024-04-25 09:49,Tambo Antonina (7654321-12001),Antiparasitario programado.
Primer Celo,2024-05-30 11:46,Tambo Antonina (7654321-12001),Primer celo detectado.
Segundo Celo,2024-06-17 17:58,Tambo Antonina (7654321-12001),Segundo celo detectado.
Servicio (IA o natural),2024-06-30 08:13,Tambo Antonina (7654321-12001),Servicio exitoso.
Servicio (IA o natural),2024-06-30 16:18,Tambo Antonina (7654321-12001),Servicio exitoso.
Tercer Celo,2024-06-30 18:36,Tambo Antonina (7654321-12001),Tercer celo detectado.
Prenez confirmada,2024-08-29 06:51,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Prenez confirmada,2024-08-29 11:51,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2024-10-22 12:05,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-10-27 15:24,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Primer servicio (hembras),2025-01-13 15:28,Campo / brete / veterinario,Inicio de vida reproductiva.
Desparasitacion,2025-04-20 06:54,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2025-10-17 09:10,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2025-10-27 07:25,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
