Hito [UY148532577],Fecha y Hora,Ubicación,Nota
Nacimiento,2021-03-03 06:15,Potrero de paricion,Registro del nacimiento.
Primer calostro,2021-03-03 15:24,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2021-03-05 16:12,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2021-03-06 13:09,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2021-03-13 08:46,Oficina / app,Registro del nacimiento.
Revision general de salud,2021-03-13 16:56,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2021-03-15 10:08,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2021-04-03 14:54,Oficina / app,Cierre de registro.
Marcacion / caravanas,2021-05-02 12:04,Manga / campo,Marcacion y vacunas.
Vacunacion clostridial,2021-05-02 13:18,Potrero 6 (7654321-12007),Vacunacion clostridial
Vacunacion clostridial,2021-06-01 07:14,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2021-06-01 09:42,Potrero 6 (7654321-12007),Antiparasitario programado.
Lactancia,2021-09-04 17:13,Campo,Permanencia con la madre.
Destete,2021-09-30 14:39,Potrero de destete,Separacion de la madre.
Desparasitacion,2021-11-28 12:07,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2022-02-12 17:11,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2022-03-07 12:44,Manga / potrero,Seleccion de reposicion.
Primer Celo,2022-04-12 10:39,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2022-04-30 12:40,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2022-05-19 15:15,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2022-05-19 16:22,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2022-05-27 08:29,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2022-06-01 07:56,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2022-07-18 13:33,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2022-11-23 11:42,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2023-02-26 16:11,Potrero de paricion,Supervision del parto.
Lactancia,2023-02-28 10:53,Potrero 6 (7654321-12007),Lactancia con ternero.
Primer Celo posparto,2023-04-27 09:56,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2023-04-27 10:42,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2023-05-22 07:22,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-06-01 18:48,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2023-06-26 13:31,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2023-11-18 17:25,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2024-02-04 18:40,Potrero de paricion,Supervision del parto.
Lactancia,2024-02-06 12:38,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2024-05-16 17:08,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-05-31 10:26,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-11-12 18:56,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-05-11 13:53,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-05-31 13:20,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-11-07 18:55,Potrero 6 (7654321-12007),Antiparasitario programado.
Celo detectado,2025-12-16 11:34,Potrero 6 (7654321-12007),En espera de servicio.
