Hito [UY924255163],Fecha y Hora,Ubicación,Nota
Nacimiento,2020-07-22 13:57,Potrero de paricion,Registro del nacimiento.
Primer calostro,2020-07-23 08:20,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2020-07-27 11:39,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2020-07-28 17:06,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2020-08-01 13:47,Oficina / app,Registro del nacimiento.
Revision general de salud,2020-08-01 14:08,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2020-08-05 09:08,Manga / campo,Plan sanitario local.
Lactancia,2020-08-12 17:06,Campo,Permanencia con la madre.
Carga de nacimiento en SNIG,2020-08-23 09:42,Oficina / app,Cierre de registro.
Vacunacion clostridial,2020-09-20 16:09,Potrero 5 (7654321-12006),Vacunacion clostridial
Desparasitacion,2020-10-20 08:40,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2020-10-20 15:47,Potrero 5 (7654321-12006),Vacunacion clostridial
Marcacion / caravanas,2020-11-04 12:18,Manga / campo,Marcacion y vacunas.
Destete,2021-03-15 15:06,Potrero de destete,Separacion de la madre.
Desparasitacion,2021-04-18 06:53,Potrero 5 (7654321-12006),Antiparasitario programado.
Recria,2021-07-24 09:16,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2021-09-02 17:42,Manga / potrero,Seleccion de reposicion.
Primer Celo,2021-09-16 10:21,Potrero 5 (7654321-12006),Primer celo detectado.
Segundo Celo,2021-10-12 17:29,Potrero 5 (7654321-12006),Segundo celo detectado.
Desparasitacion,2021-10-15 18:15,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2021-10-20 06:47,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Servicio (IA o natural),2021-11-03 14:33,Potrero 5 (7654321-12006),Servicio exitoso.
Tercer Celo,2021-11-03 16:37,Potrero 5 (7654321-12006),Tercer celo detectado.
Prenez confirmada,2022-01-02 15:56,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2022-04-13 08:25,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2022-08-13 10:48,Potrero de paricion,Supervision del parto.
Lactancia,2022-08-15 08:20,Potrero 5 (7654321-12006),Lactancia con ternero.
Posparto,2022-08-15 12:23,Potrero 5 (7654321-12006),Periodo posparto.
Desparasitacion,2022-10-10 11:00,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2022-10-20 18:24,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2023-04-08 15:30,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2023-10-05 13:54,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-10-20 16:03,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2024-04-02 11:12,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2024-09-29 16:55,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-10-19 18:12,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2025-03-28 15:25,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2025-09-24 13:13,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-10-19 08:00,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
