Hito [UY369319644],Fecha y Hora,Ubicación,Nota
Nacimiento,2020-05-03 08:18,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2020-05-03 16:29,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2020-05-05 17:00,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2020-05-08 13:17,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2020-05-09 11:01,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2020-05-09 15:31,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2020-05-10 06:34,Manga / campo,Plan sanitario local.
Revision general de salud,2020-05-10 08:06,Campo / instalaciones,Chequeo clinico.
Guachera (cria artificial),2020-05-19 07:09,Guachera,Cria artificial y control sanitario.
Carga de nacimiento en SNIG,2020-06-06 10:08,Oficina / app,Cierre de registro.
Vacunacion clostridial,2020-07-02 06:07,Potrero 4 (7654321-12005),Vacunacion clostridial
Destete,2020-07-02 13:13,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2020-08-01 18:06,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2020-08-01 18:45,Potrero 4 (7654321-12005),Vacunacion clostridial
Recria,2021-01-23 12:19,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Desparasitacion,2021-01-28 14:42,Potrero 4 (7654321-12005),Antiparasitario programado.
Primer Celo,2021-02-10 11:05,Potrero 4 (7654321-12005),Primer celo detectado.
Segundo Celo,2021-03-03 18:09,Potrero 4 (7654321-12005),Segundo celo detectado.
Tercer Celo,2021-03-23 06:17,Potrero 4 (7654321-12005),Tercer celo detectado.
Servicio (IA o natural),2021-03-23 18:25,Potrero 4 (7654321-12005),Servicio exitoso.
Seleccion,2021-04-13 11:29,Manga / campo,Seleccion de reposicion o descarte.
Prenez confirmada,2021-05-22 07:34,Potrero 4 (7654321-12005),Diagnostico de gestacion.
Desparasitacion,2021-07-27 09:30,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2021-08-01 09:24,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Primer servicio (hembras),2021-10-24 18:02,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2021-12-31 13:11,Potrero de maternidad,Supervision del parto.
Inicio ordene,2022-01-01 09:57,Potrero 4 (7654321-12005),Ingreso a rutina.
Lactancia,2022-01-02 10:52,Potrero 4 (7654321-12005),Inicio de lactancia.
Desparasitacion,2022-01-23 12:43,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2022-07-22 10:59,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2022-08-01 18:28,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Desparasitacion,2023-01-18 11:10,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2023-07-17 16:46,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2023-08-01 09:47,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Desparasitacion,2024-01-13 06:47,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2024-07-11 14:33,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2024-07-31 06:12,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Desparasitacion,2025-01-07 07:16,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2025-07-06 13:40,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2025-07-31 13:47,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Celo detectado,2025-12-12 12:53,Potrero 4 (7654321-12005),En espera de servicio.
