Hito [UY068212356],Fecha y Hora,Ubicación,Nota
Nacimiento,2018-11-07 18:16,Potrero de paricion,Registro del nacimiento.
Primer calostro,2018-11-08 10:44,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2018-11-11 11:50,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2018-11-11 17:16,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2018-11-14 08:33,Manga / campo,Plan sanitario local.
Ingreso al sistema (SNIG),2018-11-14 15:02,Oficina / app,Registro del nacimiento.
Revision general de salud,2018-11-18 06:14,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2018-12-12 15:23,Oficina / app,Cierre de registro.
Vacunacion clostridial,2019-01-06 14:25,Potrero 5 (7654321-12006),Vacunacion clostridial
Vacunacion clostridial,2019-02-05 13:39,Potrero 5 (7654321-12006),Vacunacion clostridial
Desparasitacion,2019-02-05 13:41,Potrero 5 (7654321-12006),Antiparasitario programado.
Marcacion / caravanas,2019-03-07 17:10,Manga / campo,Marcacion y vacunas.
Lactancia,2019-05-08 10:19,Campo,Permanencia con la madre.
Destete,2019-06-11 16:19,Potrero de destete,Separacion de la madre.
Desparasitacion,2019-08-04 08:55,Potrero 5 (7654321-12006),Antiparasitario programado.
Primer Celo,2019-12-04 17:51,Potrero 5 (7654321-12006),Primer celo detectado.
Segundo Celo,2019-12-22 17:08,Potrero 5 (7654321-12006),Segundo celo detectado.
Tercer Celo,2020-01-07 08:38,Potrero 5 (7654321-12006),Tercer celo detectado.
Servicio (IA o natural),2020-01-07 10:54,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2020-01-31 14:30,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2020-02-05 08:22,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Recria,2020-03-04 17:28,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Prenez confirmada,2020-03-07 12:16,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Seleccion de vientres,2020-04-22 10:09,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2020-07-29 08:30,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2020-10-16 16:14,Potrero de paricion,Supervision del parto.
Lactancia,2020-10-18 06:54,Potrero 5 (7654321-12006),Lactancia con ternero.
Primer Celo posparto,2020-12-11 09:37,Potrero 5 (7654321-12006),Retorno al celo.
Servicio (IA o natural),2020-12-11 10:09,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2021-01-25 12:00,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2021-02-04 16:09,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2021-02-09 15:00,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2021-07-24 16:04,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2021-09-20 10:23,Potrero de paricion,Supervision del parto.
Lactancia,2021-09-22 17:32,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2022-01-20 11:14,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2022-02-04 15:54,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2022-07-19 10:13,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2023-01-15 09:09,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-02-04 14:20,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2023-07-14 10:38,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2024-01-10 18:46,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-02-04 14:23,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2024-07-08 18:07,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2025-01-04 16:12,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-02-03 12:55,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2025-07-03 11:31,Potrero 5 (7654321-12006),Antiparasitario programado.
Celo detectado,2025-12-09 17:55,Potrero 5 (7654321-12006),En espera de servicio.
