Hito [UY134031070],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-03-05 11:25,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2022-03-05 14:06,Corral o potrero,Asegurar calostrado.
Control de ombligo y signos vitales,2022-03-06 09:33,Instalaciones sanitarias,Revision sanitaria inicial.
Separacion de la madre,2022-03-07 10:49,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2022-03-09 13:52,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2022-03-14 17:02,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2022-03-18 12:33,Manga / campo,Plan sanitario local.
Revision general de salud,2022-03-24 16:03,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2022-04-07 10:28,Oficina / app,Cierre de registro.
Guachera (cria artificial),2022-04-28 10:29,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2022-05-04 08:45,Potrero 3 (7654321-12004),Vacunacion clostridial
Destete,2022-05-09 12:18,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2022-06-03 07:33,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2022-06-03 17:07,Potrero 3 (7654321-12004),Vacunacion clostridial
Recria,2022-06-30 17:33,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2022-08-14 13:53,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2022-11-30 17:24,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer Celo,2022-12-07 17:32,Potrero 3 (7654321-12004),Primer celo detectado.
Segundo Celo,2022-12-22 07:11,Potrero 3 (7654321-12004),Segundo celo detectado.
Servicio (IA o natural),2023-01-16 17:34,Potrero 3 (7654321-12004),Servicio exitoso.
Tercer Celo,2023-01-16 18:37,Potrero 3 (7654321-12004),Tercer celo detectado.
Prenez confirmada,2023-03-17 08:25,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2023-05-29 17:50,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2023-06-03 07:07,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Primer servicio (hembras),2023-08-19 13:05,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2023-10-26 12:20,Potrero de maternidad,Supervision del parto.
Inicio ordene,2023-10-27 13:01,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2023-10-28 08:29,Potrero 3 (7654321-12004),Inicio de lactancia.
Desparasitacion,2023-11-25 14:39,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer Celo posparto,2023-12-23 15:57,Potrero 3 (7654321-12004),Retorno al celo.
Servicio (IA o natural),2023-12-23 17:57,Potrero 3 (7654321-12004),Servicio exitoso.
Prenez confirmada,2024-02-21 09:56,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2024-05-23 08:24,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2024-06-02 17:28,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Paricion,2024-10-01 13:05,Potrero de maternidad,Supervision del parto.
Inicio ordene,2024-10-02 10:20,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2024-10-03 17:41,Potrero 3 (7654321-12004),Inicio de lactancia.
Desparasitacion,2024-11-19 14:24,Potrero 3 (7654321-12004),Antiparasitario programado.
Desparasitacion,2025-05-18 06:49,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2025-06-02 16:23,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Desparasitacion,2025-11-14 08:58,Potrero 3 (7654321-12004),Antiparasitario programado.
Celo detectado,2025-12-01 17:50,Potrero 3 (7654321-12004),En espera de servicio.
