Hito [UY726600539],Fecha y Hora,Ubicación,Nota
Nacimiento,2025-01-28 14:06,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2025-01-29 09:29,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2025-01-29 10:28,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2025-01-30 08:06,Instalaciones sanitarias,Revision sanitaria inicial.
Separacion de la madre,2025-01-30 09:48,Corral de terneros / guachera,Separacion para manejo individual.
Ingreso al sistema (SNIG),2025-01-31 10:24,Oficina / app,Registro del nacimiento.
Guachera (cria artificial),2025-02-09 13:32,Guachera,Cria artificial y control sanitario.
Vacunas iniciales,2025-02-11 12:15,Manga / campo,Plan sanitario local.
Revision general de salud,2025-02-17 08:52,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2025-03-04 15:46,Oficina / app,Cierre de registro.
Vacunacion clostridial,2025-03-29 13:38,Potrero 1 (7654321-12002),Vacunacion clostridial
Destete,2025-04-12 13:56,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2025-04-28 13:18,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2025-04-28 16:43,Potrero 1 (7654321-12002),Vacunacion clostridial
Seleccion,2025-05-21 12:32,Manga / campo,Seleccion de reposicion o descarte.
Recria,2025-07-15 13:01,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Primer Celo,2025-10-17 13:15,Potrero 1 (7654321-12002),Primer celo detectado.
Desparasitacion,2025-10-25 14:00,Potrero 1 (7654321-12002),Antiparasitario programado.
Segundo Celo,2025-10-29 09:37,Potrero 1 (7654321-12002),Segundo celo detectado.
Servicio (IA o natural),2025-11-20 06:18,Potrero 1 (7654321-12002),Servicio exitoso.
Tercer Celo,2025-11-20 11:03,Potrero 1 (7654321-12002),Tercer celo detectado.
