Hito [UY264814270],Fecha y Hora,Ubicación,Nota
Nacimiento,2018-03-14 16:06,Potrero de paricion,Registro del nacimiento.
Primer calostro,2018-03-15 15:06,Corral o potrero,Asegurar calostrado.
Ingreso al sistema (SNIG),2018-03-17 07:47,Oficina / app,Registro del nacimiento.
Colocacion de caravana oficial,2018-03-17 15:30,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2018-03-20 11:55,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2018-03-28 16:32,Manga / campo,Plan sanitario local.
Revision general de salud,2018-04-01 17:03,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2018-04-16 14:09,Oficina / app,Cierre de registro.
Vacunacion clostridial,2018-05-13 13:23,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2018-05-21 09:57,Manga / campo,Marcacion y vacunas.
Desparasitacion,2018-06-12 15:24,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2018-06-12 16:17,Potrero 6 (7654321-12007),Vacunacion clostridial
Lactancia,2018-08-04 17:31,Campo,Permanencia con la madre.
Destete,2018-10-23 16:54,Potrero de destete,Separacion de la madre.
Desparasitacion,2018-12-09 06:37,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2019-01-27 10:40,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2019-04-19 06:51,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2019-05-15 13:39,Potrero 6 (7654321-12007),Segundo celo detectado.
Seleccion de vientres,2019-05-27 17:59,Manga / potrero,Seleccion de reposicion.
Servicio (IA o natural),2019-06-05 07:04,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2019-06-05 17:12,Potrero 6 (7654321-12007),Tercer celo detectado.
Desparasitacion,2019-06-07 10:02,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2019-06-12 12:24,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2019-08-04 06:09,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2019-12-04 16:41,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2020-03-14 15:56,Potrero de paricion,Supervision del parto.
Lactancia,2020-03-16 07:33,Potrero 6 (7654321-12007),Lactancia con ternero.
Primer Celo posparto,2020-04-30 07:15,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2020-04-30 09:06,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2020-06-01 16:39,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2020-06-11 17:51,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2020-06-29 13:01,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2020-11-28 13:02,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2021-02-07 14:28,Potrero de paricion,Supervision del parto.
Lactancia,2021-02-09 12:03,Potrero 6 (7654321-12007),Lactancia con ternero.
Primer Celo posparto,2021-04-16 07:19,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2021-04-16 12:30,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2021-05-27 11:08,Potrero 6 (7654321-12007),Antiparasitario programado.
