Hito [UY753041955],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-12-08 16:04,Potrero / corral de maternidad,Registro del nacimiento.
Separacion de la madre,2023-12-09 09:02,Corral de terneros / guachera,Separacion para manejo individual.
Primer calostro,2023-12-09 13:32,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2023-12-11 06:31,Manga / campo,Identificacion oficial.
Vacunas iniciales,2023-12-14 15:43,Manga / campo,Plan sanitario local.
Control de ombligo y signos vitales,2023-12-15 15:10,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2023-12-16 08:16,Oficina / app,Registro del nacimiento.
Revision general de salud,2023-12-26 07:14,Campo / instalaciones,Chequeo clinico.
Guachera (cria artificial),2024-01-09 11:24,Guachera,Cria artificial y control sanitario.
Carga de nacimiento en SNIG,2024-01-15 06:02,Oficina / app,Cierre de registro.
Vacunacion clostridial,2024-02-06 13:55,Tambo Antonina (7654321-12001),Vacunacion clostridial
Destete,2024-02-10 08:59,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2024-03-07 07:35,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-03-07 10:49,Tambo Antonina (7654321-12001),Vacunacion clostridial
Recria,2024-03-25 14:51,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Desparasitacion,2024-09-03 13:00,Tambo Antonina (7654321-12001),Antiparasitario programado.
Seleccion,2024-10-07 09:20,Manga / campo,Seleccion de reposicion o descarte.
Primer Celo,2024-10-20 17:20,Tambo Antonina (7654321-12001),Primer celo detectado.
Segundo Celo,2024-11-09 10:52,Tambo Antonina (7654321-12001),Segundo celo detectado.
Tercer Celo,2024-11-22 07:36,Tambo Antonina (7654321-12001),Tercer celo detectado.
Servicio (IA o natural),2024-11-22 11:07,Tambo Antonina (7654321-12001),Servicio exitoso.
Prenez confirmada,2025-01-21 14:43,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2025-03-02 11:12,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2025-03-07 10:20,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Primer servicio (hembras),2025-04-02 12:58,Campo / brete / veterinario,Inicio de vida reproductiva.
Desparasitacion,2025-08-29 10:36,Tambo Antonina (7654321-12001),Antiparasitario programado.
Paricion,2025-09-01 06:11,Potrero de maternidad,Supervision del parto.
Inicio ordene,2025-09-02 09:51,Tambo Antonina (7654321-12001),Ingreso a rutina.
Lactancia,2025-09-03 14:02,Tambo Antonina (7654321-12001),Inicio de lactancia.
Celo detectado,2025-12-07 12:04,Tambo Antonina (7654321-12001),En espera de servicio.
