Hito [UY806248900],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-02-23 11:24,Potrero de paricion,Registro del nacimiento.
Primer calostro,2022-02-24 06:51,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2022-02-28 15:23,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2022-03-01 16:39,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2022-03-02 07:11,Instalaciones sanitarias,Revision sanitaria inicial.
Revision general de salud,2022-03-05 11:06,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2022-03-07 08:34,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2022-04-04 08:38,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-04-24 08:37,Potrero 5 (7654321-12006),Vacunacion clostridial
Desparasitacion,2022-05-24 11:29,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2022-05-24 14:10,Potrero 5 (7654321-12006),Vacunacion clostridial
Lactancia,2022-05-29 15:11,Campo,Permanencia con la madre.
Marcacion / caravanas,2022-06-20 13:45,Manga / campo,Marcacion y vacunas.
Destete,2022-10-15 18:11,Potrero de destete,Separacion de la madre.
Desparasitacion,2022-11-20 16:35,Potrero 5 (7654321-12006),Antiparasitario programado.
Primer Celo,2023-03-17 06:59,Potrero 5 (7654321-12006),Primer celo detectado.
Segundo Celo,2023-04-12 14:56,Potrero 5 (7654321-12006),Segundo celo detectado.
Tercer Celo,2023-05-04 18:07,Potrero 5 (7654321-12006),Tercer celo detectado.
Servicio (IA o natural),2023-05-04 18:59,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2023-05-19 12:50,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-05-24 07:31,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Seleccion de vientres,2023-06-11 06:39,Manga / potrero,Seleccion de reposicion.
Prenez confirmada,2023-07-03 10:59,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Recria,2023-07-07 08:52,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Desparasitacion,2023-11-15 13:07,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2024-02-11 10:06,Potrero de paricion,Supervision del parto.
Lactancia,2024-02-13 11:43,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2024-05-13 16:35,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-05-23 09:38,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2024-11-09 07:21,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2025-05-08 09:23,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-05-23 08:39,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2025-11-04 08:15,Potrero 5 (7654321-12006),Antiparasitario programado.
