Hitos UY7654321-000147,Fecha,Ubicación,Nota
Nacimiento (Día 0),2017-07-06,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Parto; evaluación inicial del ternero y secado.
Calostrado (Día 0),2017-07-06,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Ingesta de calostro (idealmente en las primeras 2 horas).
Identificación (Día 1),2017-07-07,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Colocación de caravana; registro DICOSE; toma de peso inicial.
Ombligo (Día 3),2017-07-09,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Desinfección y control de ombligo; prevención de onfalitis.
Control sanitario (Día 7),2017-07-13,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Chequeo general; control de diarreas neonatales y temperatura.
Cambio de dieta (Día 14),2017-07-20,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de consumo de concentrado/forraje (según sistema).
Manejo (Día 21),2017-07-27,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Descornado/descorne temprano (si aplica) y/o manejo en manga.
Desparasitación (Día 30),2017-08-05,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Primer antiparasitario (según criterio sanitario del predio).
Control 40 días (Día 40),2017-08-15,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Revisión de crecimiento; condición; ajuste de alimentación.
Destete,2017-09-19,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Fin del período de lactancia del ternero (manejo típico del sistema).
Pubertad / madurez sexual,2018-07-06,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Edad aproximada; se habilita selección para recría o servicio.
Servicio (1),2018-10-05,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Detección de celo e inseminación/servicio. Se asume preñez en este servicio.
Parto (1),2019-07-15,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de lactancia/posparto.
Inicio de lactancia (1),2019-07-15,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Comienzo de ordeñe postparto.
Pico de lactancia (1),2019-09-13,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Pico productivo aproximado.
Servicio (2),2019-09-28,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Secado (1),2020-05-08,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de período seco (aprox. 60 días previos al próximo parto).
Parto (2),2020-07-07,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Posparto; inicio de lactancia si aplica.
Inicio de lactancia (2),2020-07-07,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Comienzo de ordeñe postparto.
Pico de lactancia (2),2020-09-05,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Pico productivo aproximado.
Servicio (3),2020-09-20,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Secado (2),2021-05-01,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de período seco (aprox. 60 días previos al próximo parto).
Inicio de lactancia (3),2021-06-30,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Comienzo de ordeñe postparto.
Parto (3),2021-06-30,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Posparto; inicio de lactancia si aplica.
Pico de lactancia (3),2021-08-29,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Pico productivo aproximado.
Servicio (4),2021-09-13,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Secado (3),2022-04-24,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de período seco (aprox. 60 días previos al próximo parto).
Parto (4),2022-06-23,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Posparto; inicio de lactancia si aplica.
Inicio de lactancia (4),2022-06-23,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Comienzo de ordeñe postparto.
Pico de lactancia (4),2022-08-22,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Pico productivo aproximado.
Servicio (5),2022-09-06,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Secado (4),2023-04-17,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de período seco (aprox. 60 días previos al próximo parto).
Parto (5),2023-06-16,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Posparto; inicio de lactancia si aplica.
Inicio de lactancia (5),2023-06-16,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Comienzo de ordeñe postparto.
Pico de lactancia (5),2023-08-15,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Pico productivo aproximado.
Servicio (6),2023-08-30,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Secado (5),2024-04-09,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de período seco (aprox. 60 días previos al próximo parto).
Inicio de lactancia (6),2024-06-08,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Comienzo de ordeñe postparto.
Parto (6),2024-06-08,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Posparto; inicio de lactancia si aplica.
Pico de lactancia (6),2024-08-07,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Pico productivo aproximado.
