Hitos UY7654321-000153,Fecha,Ubicación,Nota
Nacimiento (Día 0),2025-08-18,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Parto; evaluación inicial del ternero y secado.
Calostrado (Día 0),2025-08-18,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Ingesta de calostro (idealmente en las primeras 2 horas).
Identificación (Día 1),2025-08-19,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Colocación de caravana; registro DICOSE; toma de peso inicial.
Ombligo (Día 3),2025-08-21,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Desinfección y control de ombligo; prevención de onfalitis.
Control sanitario (Día 7),2025-08-25,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Chequeo general; control de diarreas neonatales y temperatura.
Cambio de dieta (Día 14),2025-09-01,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Inicio de consumo de concentrado/forraje (según sistema).
Manejo (Día 21),2025-09-08,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Descornado/descorne temprano (si aplica) y/o manejo en manga.
Desparasitación (Día 30),2025-09-17,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Primer antiparasitario (según criterio sanitario del predio).
Control 40 días (Día 40),2025-09-27,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Revisión de crecimiento; condición; ajuste de alimentación.
Destete,2025-11-01,"Potrero 1 (Padrón 11002, Manga: Manga Potrero 1)",Fin del período de lactancia del ternero (manejo típico del sistema).
