Hito [UY690256940],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-03-02 12:32,Potrero de paricion,Registro del nacimiento.
Primer calostro,2023-03-03 06:28,Corral o potrero,Asegurar calostrado.
Control de ombligo y signos vitales,2023-03-03 16:24,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2023-03-05 11:06,Manga / campo,Identificacion oficial.
Vacunas iniciales,2023-03-10 12:11,Manga / campo,Plan sanitario local.
Ingreso al sistema (SNIG),2023-03-11 09:18,Oficina / app,Registro del nacimiento.
Revision general de salud,2023-03-18 10:33,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2023-04-10 13:33,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-05-01 13:13,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2023-05-04 16:15,Manga / campo,Marcacion y vacunas.
Vacunacion clostridial,2023-05-31 08:50,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2023-05-31 17:38,Potrero 6 (7654321-12007),Antiparasitario programado.
Lactancia,2023-06-20 07:43,Campo,Permanencia con la madre.
Destete,2023-09-05 09:07,Potrero de destete,Separacion de la madre.
Recria,2023-11-24 06:36,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Desparasitacion,2023-11-27 10:46,Potrero 6 (7654321-12007),Antiparasitario programado.
Primer Celo,2024-03-08 14:06,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2024-03-24 10:14,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2024-04-11 15:44,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2024-04-11 17:25,Potrero 6 (7654321-12007),Servicio exitoso.
Seleccion de vientres,2024-05-03 09:04,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2024-05-25 06:06,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-05-30 09:22,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2024-06-10 12:25,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2024-11-21 08:32,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2025-01-19 07:14,Potrero de paricion,Supervision del parto.
Lactancia,2025-01-21 17:52,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2025-05-20 17:39,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-05-30 16:18,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-11-16 13:47,Potrero 6 (7654321-12007),Antiparasitario programado.
Celo detectado,2025-12-17 17:17,Potrero 6 (7654321-12007),En espera de servicio.
