Hito [UY295310485],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-12-25 18:57,Potrero / corral de maternidad,Registro del nacimiento.
Control de ombligo y signos vitales,2022-12-26 09:45,Instalaciones sanitarias,Revision sanitaria inicial.
Primer calostro,2022-12-26 17:05,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2022-12-27 16:38,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2022-12-30 16:11,Manga / campo,Identificacion oficial.
Guachera (cria artificial),2022-12-30 18:40,Guachera,Cria artificial y control sanitario.
Ingreso al sistema (SNIG),2023-01-04 13:33,Oficina / app,Registro del nacimiento.
Revision general de salud,2023-01-06 11:58,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2023-01-07 15:10,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2023-01-28 12:26,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-02-23 12:41,Potrero 4 (7654321-12005),Vacunacion clostridial
Destete,2023-03-05 07:21,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2023-03-25 17:43,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2023-03-25 18:21,Potrero 4 (7654321-12005),Vacunacion clostridial
Recria,2023-05-12 14:43,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Desparasitacion,2023-09-21 14:05,Potrero 4 (7654321-12005),Antiparasitario programado.
Seleccion,2023-10-08 10:16,Manga / campo,Seleccion de reposicion o descarte.
Primer Celo,2023-10-13 08:21,Potrero 4 (7654321-12005),Primer celo detectado.
Segundo Celo,2023-11-05 07:37,Potrero 4 (7654321-12005),Segundo celo detectado.
Servicio (IA o natural),2023-11-22 11:19,Potrero 4 (7654321-12005),Servicio exitoso.
Tercer Celo,2023-11-22 16:09,Potrero 4 (7654321-12005),Tercer celo detectado.
Prenez confirmada,2024-01-21 16:44,Potrero 4 (7654321-12005),Diagnostico de gestacion.
Desparasitacion,2024-03-19 16:42,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2024-03-24 08:42,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Primer servicio (hembras),2024-06-11 15:55,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2024-08-31 16:25,Potrero de maternidad,Supervision del parto.
Inicio ordene,2024-09-01 08:38,Potrero 4 (7654321-12005),Ingreso a rutina.
Posparto,2024-09-02 10:35,Potrero 4 (7654321-12005),Periodo posparto.
Lactancia,2024-09-02 17:05,Potrero 4 (7654321-12005),Inicio de lactancia.
Desparasitacion,2024-09-15 12:32,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2025-03-14 11:01,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2025-03-24 17:53,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Desparasitacion,2025-09-10 11:19,Potrero 4 (7654321-12005),Antiparasitario programado.
