Hito [UY407437181],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-10-19 12:52,Potrero de paricion,Registro del nacimiento.
Primer calostro,2022-10-20 08:38,Corral o potrero,Asegurar calostrado.
Control de ombligo y signos vitales,2022-10-21 14:45,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2022-10-24 08:28,Manga / campo,Plan sanitario local.
Colocacion de caravana oficial,2022-10-24 10:37,Manga / campo,Identificacion oficial.
Revision general de salud,2022-10-27 12:38,Campo / instalaciones,Chequeo clinico.
Ingreso al sistema (SNIG),2022-10-29 10:12,Oficina / app,Registro del nacimiento.
Carga de nacimiento en SNIG,2022-11-21 14:21,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-12-18 17:02,Potrero 5 (7654321-12006),Vacunacion clostridial
Vacunacion clostridial,2023-01-17 09:56,Potrero 5 (7654321-12006),Vacunacion clostridial
Desparasitacion,2023-01-17 10:42,Potrero 5 (7654321-12006),Antiparasitario programado.
Marcacion / caravanas,2023-01-18 13:29,Manga / campo,Marcacion y vacunas.
Destete,2023-05-23 06:47,Potrero de destete,Separacion de la madre.
Lactancia,2023-06-09 15:56,Campo,Permanencia con la madre.
Desparasitacion,2023-07-16 07:44,Potrero 5 (7654321-12006),Antiparasitario programado.
Recria,2023-08-01 10:41,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2023-12-29 17:50,Potrero 5 (7654321-12006),Primer celo detectado.
Desparasitacion,2024-01-12 17:46,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-01-17 08:17,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Segundo Celo,2024-01-26 10:25,Potrero 5 (7654321-12006),Segundo celo detectado.
Seleccion de vientres,2024-02-07 11:44,Manga / potrero,Seleccion de reposicion.
Tercer Celo,2024-02-13 15:52,Potrero 5 (7654321-12006),Tercer celo detectado.
Servicio (IA o natural),2024-02-13 18:54,Potrero 5 (7654321-12006),Servicio exitoso.
Prenez confirmada,2024-04-13 08:26,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2024-07-10 09:58,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2024-11-22 09:11,Potrero de paricion,Supervision del parto.
Lactancia,2024-11-24 15:46,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2025-01-06 13:26,Potrero 5 (7654321-12006),Antiparasitario programado.
Servicio (IA o natural),2025-01-08 12:29,Potrero 5 (7654321-12006),Servicio exitoso.
Vacunacion clostridial,2025-01-16 16:34,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2025-03-09 12:58,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2025-07-05 18:35,Potrero 5 (7654321-12006),Antiparasitario programado.
Diagnostico de enfermedad,2025-12-18 17:36,Manga Potrero 5,Herida/absceso con drenaje
Tratamiento en curso,2025-12-19 07:25,Manga Potrero 5,Confinamiento en manga.
