Hito [UY397478786],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-10-25 07:32,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2023-10-26 12:06,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2023-10-27 06:05,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2023-10-29 16:46,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2023-10-30 10:22,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2023-11-01 15:05,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2023-11-07 06:07,Manga / campo,Plan sanitario local.
Revision general de salud,2023-11-12 16:29,Campo / instalaciones,Chequeo clinico.
Guachera (cria artificial),2023-11-22 17:19,Guachera,Cria artificial y control sanitario.
Carga de nacimiento en SNIG,2023-11-26 18:11,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-12-24 16:30,Potrero 3 (7654321-12004),Vacunacion clostridial
Destete,2024-01-03 15:46,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2024-01-23 13:44,Potrero 3 (7654321-12004),Vacunacion clostridial
Desparasitacion,2024-01-23 16:47,Potrero 3 (7654321-12004),Antiparasitario programado.
Desparasitacion,2024-07-21 15:46,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer Celo,2024-08-15 18:11,Potrero 3 (7654321-12004),Primer celo detectado.
Segundo Celo,2024-09-03 09:11,Potrero 3 (7654321-12004),Segundo celo detectado.
Seleccion,2024-09-09 15:51,Manga / campo,Seleccion de reposicion o descarte.
Recria,2024-09-11 18:42,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Tercer Celo,2024-10-02 07:47,Potrero 3 (7654321-12004),Tercer celo detectado.
Servicio (IA o natural),2024-10-02 15:16,Potrero 3 (7654321-12004),Servicio exitoso.
Prenez confirmada,2024-12-01 16:06,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2025-01-17 13:19,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2025-01-22 12:55,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Primer servicio (hembras),2025-02-19 11:58,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2025-07-12 12:34,Potrero de maternidad,Supervision del parto.
Inicio ordene,2025-07-13 06:00,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2025-07-14 12:07,Potrero 3 (7654321-12004),Inicio de lactancia.
Desparasitacion,2025-07-16 15:52,Potrero 3 (7654321-12004),Antiparasitario programado.
Celo detectado,2025-12-09 06:10,Potrero 3 (7654321-12004),En espera de servicio.
