Hito [UY639830322],Fecha y Hora,Ubicación,Nota
Nacimiento,2018-08-10 12:49,Potrero de paricion,Registro del nacimiento.
Primer calostro,2018-08-11 09:59,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2018-08-13 13:59,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2018-08-15 10:21,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2018-08-17 10:23,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2018-08-20 17:20,Manga / campo,Plan sanitario local.
Revision general de salud,2018-08-24 10:27,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2018-09-18 12:48,Oficina / app,Cierre de registro.
Vacunacion clostridial,2018-10-09 17:04,Potrero 6 (7654321-12007),Vacunacion clostridial
Vacunacion clostridial,2018-11-08 11:49,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2018-11-08 15:34,Potrero 6 (7654321-12007),Antiparasitario programado.
Lactancia,2018-11-24 06:48,Campo,Permanencia con la madre.
Marcacion / caravanas,2018-12-08 12:03,Manga / campo,Marcacion y vacunas.
Destete,2019-03-04 11:41,Potrero de destete,Separacion de la madre.
Desparasitacion,2019-05-07 18:42,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2019-06-17 13:49,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2019-10-14 06:52,Manga / potrero,Seleccion de reposicion.
Primer Celo,2019-10-25 17:12,Potrero 6 (7654321-12007),Primer celo detectado.
Desparasitacion,2019-11-03 10:35,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2019-11-08 17:26,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Segundo Celo,2019-11-13 09:42,Potrero 6 (7654321-12007),Segundo celo detectado.
Servicio (IA o natural),2019-12-03 10:53,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2019-12-03 17:16,Potrero 6 (7654321-12007),Tercer celo detectado.
Prenez confirmada,2020-02-01 11:01,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2020-05-01 14:52,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2020-09-11 11:27,Potrero de paricion,Supervision del parto.
Lactancia,2020-09-13 18:24,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2020-10-28 10:44,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2020-11-07 08:55,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
