Hito [UY930379756],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-10-01 07:44,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2023-10-01 11:31,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2023-10-03 06:19,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2023-10-06 18:48,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2023-10-07 11:10,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2023-10-08 11:27,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2023-10-09 13:40,Manga / campo,Plan sanitario local.
Revision general de salud,2023-10-21 18:04,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2023-11-08 09:18,Oficina / app,Cierre de registro.
Guachera (cria artificial),2023-11-08 12:51,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2023-11-30 10:04,Tambo Antonina (7654321-12001),Vacunacion clostridial
Destete,2023-12-07 15:47,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2023-12-30 12:13,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2023-12-30 15:51,Tambo Antonina (7654321-12001),Vacunacion clostridial
Recria,2024-02-15 17:54,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2024-02-16 15:21,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2024-06-27 11:50,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2024-12-24 07:41,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-12-29 14:30,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2025-06-22 10:32,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2025-12-19 18:19,Tambo Antonina (7654321-12001),Antiparasitario programado.
