Hito [UY286501362],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-05-28 13:12,Potrero de paricion,Registro del nacimiento.
Primer calostro,2022-05-29 06:22,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2022-05-29 13:51,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2022-06-01 14:05,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2022-06-04 16:45,Instalaciones sanitarias,Revision sanitaria inicial.
Revision general de salud,2022-06-12 15:36,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2022-06-12 16:20,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2022-07-05 14:25,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-07-27 18:43,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2022-08-08 10:20,Manga / campo,Marcacion y vacunas.
Desparasitacion,2022-08-26 15:47,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2022-08-26 17:03,Potrero 6 (7654321-12007),Vacunacion clostridial
Destete,2022-12-02 13:48,Potrero de destete,Separacion de la madre.
Lactancia,2022-12-07 14:41,Campo,Permanencia con la madre.
Desparasitacion,2023-02-22 15:34,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2023-05-04 10:40,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2023-08-15 12:05,Potrero 6 (7654321-12007),Primer celo detectado.
Desparasitacion,2023-08-21 08:41,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-08-26 14:53,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Segundo Celo,2023-09-06 13:01,Potrero 6 (7654321-12007),Segundo celo detectado.
Seleccion de vientres,2023-09-09 12:27,Manga / potrero,Seleccion de reposicion.
Servicio (IA o natural),2023-09-28 11:35,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2023-09-28 13:06,Potrero 6 (7654321-12007),Tercer celo detectado.
Prenez confirmada,2023-11-27 13:39,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2024-02-17 11:47,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2024-07-07 12:19,Potrero de paricion,Supervision del parto.
Lactancia,2024-07-09 13:50,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2024-08-15 06:34,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-08-25 06:12,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-02-11 06:03,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-08-10 10:24,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-08-25 07:19,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Celo detectado,2025-12-07 18:18,Potrero 6 (7654321-12007),En espera de servicio.
