Hito [UY576567501],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-02-15 08:49,Potrero de paricion,Registro del nacimiento.
Primer calostro,2022-02-16 06:39,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2022-02-16 17:48,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2022-02-18 15:07,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2022-02-19 15:04,Oficina / app,Registro del nacimiento.
Revision general de salud,2022-02-24 17:12,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2022-02-28 12:46,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2022-03-20 15:49,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-04-16 12:12,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2022-04-27 06:41,Manga / campo,Marcacion y vacunas.
Desparasitacion,2022-05-16 07:33,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2022-05-16 09:22,Potrero 6 (7654321-12007),Vacunacion clostridial
Lactancia,2022-08-28 08:53,Campo,Permanencia con la madre.
Destete,2022-10-12 13:46,Potrero de destete,Separacion de la madre.
Desparasitacion,2022-11-12 10:01,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2022-12-13 11:05,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2023-03-06 12:36,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2023-05-11 15:03,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-05-16 16:40,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Primer Celo,2023-06-01 17:43,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2023-06-23 12:51,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2023-07-13 12:24,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2023-07-13 17:30,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2023-09-11 08:54,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2023-11-07 14:03,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2024-04-21 11:11,Potrero de paricion,Supervision del parto.
Lactancia,2024-04-23 07:19,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2024-05-05 16:23,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-05-15 07:21,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Servicio (IA o natural),2024-06-26 11:11,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2024-08-25 17:27,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2024-11-01 07:10,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-04-30 06:33,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-05-15 13:48,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-10-27 06:00,Potrero 6 (7654321-12007),Antiparasitario programado.
Diagnostico de enfermedad,2025-12-15 13:05,Manga Potrero 6,Cojera (lesion de pezuna)
Tratamiento en curso,2025-12-16 08:16,Manga Potrero 6,Confinamiento en manga.
