Hito [UY430747414],Fecha y Hora,Ubicación,Nota
Nacimiento,2017-06-25 08:02,Potrero de paricion,Registro del nacimiento.
Primer calostro,2017-06-25 09:26,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2017-06-30 17:16,Manga / campo,Identificacion oficial.
Vacunas iniciales,2017-07-01 12:04,Manga / campo,Plan sanitario local.
Control de ombligo y signos vitales,2017-07-02 14:22,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2017-07-03 13:40,Oficina / app,Registro del nacimiento.
Revision general de salud,2017-07-09 12:33,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2017-08-02 18:01,Oficina / app,Cierre de registro.
Lactancia,2017-08-06 15:17,Campo,Permanencia con la madre.
Vacunacion clostridial,2017-08-24 10:13,Potrero 6 (7654321-12007),Vacunacion clostridial
Vacunacion clostridial,2017-09-23 08:00,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2017-09-23 09:18,Potrero 6 (7654321-12007),Antiparasitario programado.
Marcacion / caravanas,2017-10-07 08:18,Manga / campo,Marcacion y vacunas.
Destete,2017-12-24 15:03,Potrero de destete,Separacion de la madre.
Desparasitacion,2018-03-22 17:17,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2018-05-28 17:52,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2018-07-18 14:55,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2018-08-12 14:04,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2018-08-31 08:28,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2018-08-31 18:32,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2018-09-18 14:07,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2018-09-23 08:36,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Seleccion de vientres,2018-09-29 13:43,Manga / potrero,Seleccion de reposicion.
Prenez confirmada,2018-10-30 12:35,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2019-03-17 08:14,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2019-06-10 18:24,Potrero de paricion,Supervision del parto.
Lactancia,2019-06-12 12:38,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2019-09-13 06:34,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2019-09-23 09:37,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2020-03-11 09:18,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2020-09-07 06:40,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2020-09-22 17:00,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2021-03-06 08:56,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2021-09-02 10:59,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2021-09-22 18:32,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2022-03-01 08:17,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2022-08-28 18:03,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2022-09-22 13:32,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2023-02-24 16:15,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2023-08-23 09:34,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-09-22 17:46,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-02-19 07:00,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2024-08-17 16:22,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-09-21 14:16,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-02-13 16:38,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-08-12 11:20,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-09-21 10:54,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
