Hito [UY388302652],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-03-09 06:02,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2023-03-10 06:21,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2023-03-10 12:07,Manga / campo,Identificacion oficial.
Separacion de la madre,2023-03-10 13:41,Corral de terneros / guachera,Separacion para manejo individual.
Control de ombligo y signos vitales,2023-03-11 18:41,Instalaciones sanitarias,Revision sanitaria inicial.
Guachera (cria artificial),2023-03-12 13:58,Guachera,Cria artificial y control sanitario.
Ingreso al sistema (SNIG),2023-03-19 16:55,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2023-03-22 08:47,Manga / campo,Plan sanitario local.
Revision general de salud,2023-03-25 09:59,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2023-04-09 06:47,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-05-08 18:06,Tambo Antonina (7654321-12001),Vacunacion clostridial
Destete,2023-05-09 09:44,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2023-06-07 07:07,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2023-06-07 13:39,Tambo Antonina (7654321-12001),Vacunacion clostridial
Seleccion,2023-07-02 10:52,Manga / campo,Seleccion de reposicion o descarte.
Recria,2023-08-12 06:11,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Desparasitacion,2023-12-04 13:38,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2024-06-01 18:39,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-06-06 08:53,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2024-11-28 09:04,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2025-05-27 18:12,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2025-06-06 15:04,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2025-11-23 12:21,Tambo Antonina (7654321-12001),Antiparasitario programado.
