Hito [UY626563708],Fecha y Hora,Ubicación,Nota
Nacimiento,2024-06-09 09:21,Potrero de paricion,Registro del nacimiento.
Primer calostro,2024-06-09 18:49,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2024-06-12 09:29,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2024-06-12 17:07,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2024-06-15 13:46,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2024-06-20 11:05,Manga / campo,Plan sanitario local.
Revision general de salud,2024-06-21 14:32,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2024-07-10 11:41,Oficina / app,Cierre de registro.
Vacunacion clostridial,2024-08-08 12:26,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2024-09-05 18:26,Manga / campo,Marcacion y vacunas.
Vacunacion clostridial,2024-09-07 14:09,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2024-09-07 16:56,Potrero 6 (7654321-12007),Antiparasitario programado.
Lactancia,2024-10-10 15:14,Campo,Permanencia con la madre.
Destete,2024-12-20 15:52,Potrero de destete,Separacion de la madre.
Desparasitacion,2025-03-06 18:12,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2025-04-09 14:15,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2025-08-02 16:08,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2025-08-28 15:16,Potrero 6 (7654321-12007),Segundo celo detectado.
Desparasitacion,2025-09-02 08:56,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-09-07 15:31,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Servicio (IA o natural),2025-09-15 11:20,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2025-09-15 18:18,Potrero 6 (7654321-12007),Tercer celo detectado.
Seleccion de vientres,2025-09-16 16:37,Manga / potrero,Seleccion de reposicion.
Prenez confirmada,2025-11-14 07:05,Potrero 6 (7654321-12007),Diagnostico de gestacion.
