Hito [UY031994523],Fecha y Hora,Ubicación,Nota
Nacimiento,2019-06-08 09:19,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2019-06-08 18:29,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2019-06-09 06:17,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2019-06-09 14:26,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2019-06-12 14:33,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2019-06-13 12:15,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2019-06-17 09:21,Manga / campo,Plan sanitario local.
Revision general de salud,2019-06-25 07:59,Campo / instalaciones,Chequeo clinico.
Guachera (cria artificial),2019-07-04 16:38,Guachera,Cria artificial y control sanitario.
Carga de nacimiento en SNIG,2019-07-15 11:05,Oficina / app,Cierre de registro.
Vacunacion clostridial,2019-08-07 09:24,Potrero 3 (7654321-12004),Vacunacion clostridial
Destete,2019-08-08 07:12,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2019-09-06 13:29,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2019-09-06 15:53,Potrero 3 (7654321-12004),Vacunacion clostridial
Recria,2019-12-26 13:13,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2020-02-23 10:58,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2020-03-04 08:46,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer Celo,2020-03-11 09:47,Potrero 3 (7654321-12004),Primer celo detectado.
Segundo Celo,2020-04-09 07:47,Potrero 3 (7654321-12004),Segundo celo detectado.
Servicio (IA o natural),2020-04-24 09:44,Potrero 3 (7654321-12004),Servicio exitoso.
Tercer Celo,2020-04-24 18:30,Potrero 3 (7654321-12004),Tercer celo detectado.
Prenez confirmada,2020-06-23 15:45,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2020-08-31 18:22,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer servicio (hembras),2020-09-01 09:59,Campo / brete / veterinario,Inicio de vida reproductiva.
Vacunacion clostridial,2020-09-05 09:31,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Paricion,2021-02-01 09:25,Potrero de maternidad,Supervision del parto.
Inicio ordene,2021-02-02 09:35,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2021-02-03 11:49,Potrero 3 (7654321-12004),Inicio de lactancia.
Desparasitacion,2021-02-27 08:08,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer Celo posparto,2021-03-30 10:24,Potrero 3 (7654321-12004),Retorno al celo.
Servicio (IA o natural),2021-03-30 13:34,Potrero 3 (7654321-12004),Servicio exitoso.
Prenez confirmada,2021-05-29 16:22,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2021-08-26 17:34,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2021-09-05 14:41,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Paricion,2022-01-07 10:16,Potrero de maternidad,Supervision del parto.
Inicio ordene,2022-01-08 11:32,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2022-01-09 13:29,Potrero 3 (7654321-12004),Inicio de lactancia.
Desparasitacion,2022-02-22 13:11,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer Celo posparto,2022-03-12 07:51,Potrero 3 (7654321-12004),Retorno al celo.
Servicio (IA o natural),2022-03-12 17:30,Potrero 3 (7654321-12004),Servicio exitoso.
Prenez confirmada,2022-05-11 18:53,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2022-08-21 14:41,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2022-09-05 16:21,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Paricion,2022-12-20 11:58,Potrero de maternidad,Supervision del parto.
Inicio ordene,2022-12-21 09:23,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2022-12-22 11:26,Potrero 3 (7654321-12004),Inicio de lactancia.
Primer Celo posparto,2023-02-12 06:36,Potrero 3 (7654321-12004),Retorno al celo.
