Hito [UY012327652],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-04-10 13:39,Potrero de paricion,Registro del nacimiento.
Primer calostro,2022-04-11 14:28,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2022-04-11 17:17,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2022-04-16 18:32,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2022-04-17 10:21,Manga / campo,Plan sanitario local.
Ingreso al sistema (SNIG),2022-04-18 11:57,Oficina / app,Registro del nacimiento.
Revision general de salud,2022-04-29 13:49,Campo / instalaciones,Chequeo clinico.
Lactancia,2022-05-04 16:54,Campo,Permanencia con la madre.
Carga de nacimiento en SNIG,2022-05-18 13:42,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-06-09 14:05,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2022-06-30 18:33,Manga / campo,Marcacion y vacunas.
Vacunacion clostridial,2022-07-09 14:11,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2022-07-09 16:14,Potrero 6 (7654321-12007),Antiparasitario programado.
Destete,2022-10-23 07:50,Potrero de destete,Separacion de la madre.
Desparasitacion,2023-01-05 18:01,Potrero 6 (7654321-12007),Antiparasitario programado.
Seleccion de vientres,2023-04-11 14:08,Manga / potrero,Seleccion de reposicion.
Recria,2023-06-11 12:41,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2023-06-14 07:14,Potrero 6 (7654321-12007),Primer celo detectado.
Desparasitacion,2023-07-04 09:46,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-07-09 12:52,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Segundo Celo,2023-07-09 13:53,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2023-07-26 07:07,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2023-07-26 14:45,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2023-09-24 10:08,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2023-12-31 17:22,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2024-05-04 11:19,Potrero de paricion,Supervision del parto.
Lactancia,2024-05-06 13:27,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2024-06-28 14:38,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-07-08 14:12,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-12-25 18:09,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-06-23 15:55,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-07-08 08:53,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-12-20 14:33,Potrero 6 (7654321-12007),Antiparasitario programado.
