Hitos UY7654321-000142,Fecha,Ubicación,Nota
Nacimiento (Día 0),2025-04-03,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Parto; evaluación inicial del ternero y secado.
Calostrado (Día 0),2025-04-03,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Ingesta de calostro (idealmente en las primeras 2 horas).
Identificación (Día 1),2025-04-04,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Colocación de caravana; registro DICOSE; toma de peso inicial.
Ombligo (Día 3),2025-04-06,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Desinfección y control de ombligo; prevención de onfalitis.
Control sanitario (Día 7),2025-04-10,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Chequeo general; control de diarreas neonatales y temperatura.
Cambio de dieta (Día 14),2025-04-17,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de consumo de concentrado/forraje (según sistema).
Manejo (Día 21),2025-04-24,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Descornado/descorne temprano (si aplica) y/o manejo en manga.
Desparasitación (Día 30),2025-05-03,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Primer antiparasitario (según criterio sanitario del predio).
Control 40 días (Día 40),2025-05-13,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Revisión de crecimiento; condición; ajuste de alimentación.
Destete,2025-06-17,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Fin del período de lactancia del ternero (manejo típico del sistema).
Evento sanitario,2025-12-15,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Diagnóstico: Metritis posparto. Tratamiento y seguimiento veterinario.
