Hito [UY957970516],Fecha y Hora,Ubicación,Nota
Nacimiento,2020-02-19 15:14,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2020-02-19 15:30,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2020-02-21 12:09,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2020-02-21 14:40,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2020-02-25 15:49,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2020-02-28 08:52,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2020-03-05 09:02,Manga / campo,Plan sanitario local.
Revision general de salud,2020-03-06 17:07,Campo / instalaciones,Chequeo clinico.
Guachera (cria artificial),2020-03-18 17:13,Guachera,Cria artificial y control sanitario.
Carga de nacimiento en SNIG,2020-03-23 06:28,Oficina / app,Cierre de registro.
Vacunacion clostridial,2020-04-19 16:51,Tambo Antonina (7654321-12001),Vacunacion clostridial
Destete,2020-05-02 14:49,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2020-05-19 10:45,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2020-05-19 17:16,Tambo Antonina (7654321-12001),Vacunacion clostridial
Seleccion,2020-06-19 17:08,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2020-11-15 09:44,Tambo Antonina (7654321-12001),Antiparasitario programado.
Primer Celo,2020-12-06 11:42,Tambo Antonina (7654321-12001),Primer celo detectado.
Segundo Celo,2020-12-28 13:33,Tambo Antonina (7654321-12001),Segundo celo detectado.
Recria,2021-01-15 17:46,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Servicio (IA o natural),2021-01-21 08:29,Tambo Antonina (7654321-12001),Servicio exitoso.
Tercer Celo,2021-01-21 12:20,Tambo Antonina (7654321-12001),Tercer celo detectado.
Prenez confirmada,2021-03-22 14:21,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2021-05-14 17:31,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2021-05-19 15:30,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Primer servicio (hembras),2021-07-19 09:35,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2021-10-31 14:22,Potrero de maternidad,Supervision del parto.
Inicio ordene,2021-11-01 16:49,Tambo Antonina (7654321-12001),Ingreso a rutina.
Lactancia,2021-11-02 17:43,Tambo Antonina (7654321-12001),Inicio de lactancia.
Desparasitacion,2021-11-10 11:30,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2022-05-09 11:35,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2022-05-19 09:15,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2022-11-05 18:46,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2023-05-04 10:18,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2023-05-19 10:35,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2023-10-31 07:36,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2024-04-28 16:34,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-05-18 10:14,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2024-10-25 12:57,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2025-04-23 12:52,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2025-05-18 10:49,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2025-10-20 11:49,Tambo Antonina (7654321-12001),Antiparasitario programado.
