Hitos UY7654321-000095,Fecha,Ubicación,Nota
Nacimiento (Día 0),2018-01-31,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Parto; evaluación inicial del ternero y secado.
Calostrado (Día 0),2018-01-31,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Ingesta de calostro (idealmente en las primeras 2 horas).
Identificación (Día 1),2018-02-01,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Colocación de caravana; registro DICOSE; toma de peso inicial.
Ombligo (Día 3),2018-02-03,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Desinfección y control de ombligo; prevención de onfalitis.
Control sanitario (Día 7),2018-02-07,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Chequeo general; control de diarreas neonatales y temperatura.
Cambio de dieta (Día 14),2018-02-14,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Inicio de consumo de concentrado/forraje (según sistema).
Manejo (Día 21),2018-02-21,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Descornado/descorne temprano (si aplica) y/o manejo en manga.
Desparasitación (Día 30),2018-03-02,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Primer antiparasitario (según criterio sanitario del predio).
Control 40 días (Día 40),2018-03-12,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Revisión de crecimiento; condición; ajuste de alimentación.
Destete,2018-07-30,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Fin del período de lactancia del ternero (manejo típico del sistema).
Pubertad / madurez sexual,2019-03-07,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Edad aproximada; se habilita selección para recría o servicio.
Servicio (1),2019-05-02,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Detección de celo e inseminación/servicio. Se asume preñez en este servicio.
Parto (1),2020-02-09,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Inicio de lactancia/posparto.
Servicio (2),2020-04-09,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (1),2020-08-07,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Destete del ternero (referencial).
Parto (2),2021-01-17,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Posparto; inicio de lactancia si aplica.
Servicio (3),2021-03-18,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (2),2021-07-16,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Destete del ternero (referencial).
Parto (3),2021-12-26,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Posparto; inicio de lactancia si aplica.
Servicio (4),2022-02-24,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (3),2022-06-24,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Destete del ternero (referencial).
Parto (4),2022-12-04,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Posparto; inicio de lactancia si aplica.
Servicio (5),2023-02-02,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (4),2023-06-02,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Destete del ternero (referencial).
Parto (5),2023-11-12,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Posparto; inicio de lactancia si aplica.
Servicio (6),2024-01-11,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (5),2024-05-10,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Destete del ternero (referencial).
Parto (6),2024-10-20,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Posparto; inicio de lactancia si aplica.
Destete de cría (6),2025-04-18,"Potrero 6 (Padrón 11007, Manga: Manga Potrero 6)",Destete del ternero (referencial).
