Hito [UY950034367],Fecha y Hora,Ubicación,Nota
Nacimiento,2019-11-09 12:11,Potrero de paricion,Registro del nacimiento.
Primer calostro,2019-11-10 16:36,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2019-11-13 17:16,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2019-11-15 18:23,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2019-11-16 12:23,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2019-11-19 09:20,Manga / campo,Plan sanitario local.
Revision general de salud,2019-11-24 11:04,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2019-12-11 11:55,Oficina / app,Cierre de registro.
Vacunacion clostridial,2020-01-08 06:57,Potrero 6 (7654321-12007),Vacunacion clostridial
Vacunacion clostridial,2020-02-07 11:30,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2020-02-07 17:01,Potrero 6 (7654321-12007),Antiparasitario programado.
Marcacion / caravanas,2020-02-27 14:37,Manga / campo,Marcacion y vacunas.
Destete,2020-05-15 07:58,Potrero de destete,Separacion de la madre.
Lactancia,2020-06-07 17:15,Campo,Permanencia con la madre.
Desparasitacion,2020-08-05 17:38,Potrero 6 (7654321-12007),Antiparasitario programado.
Primer Celo,2020-12-04 18:52,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2020-12-30 15:14,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2021-01-23 17:22,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2021-01-23 17:44,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2021-02-01 13:27,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2021-02-06 17:09,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Seleccion de vientres,2021-03-20 11:06,Manga / potrero,Seleccion de reposicion.
Recria,2021-03-22 17:30,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Prenez confirmada,2021-03-24 16:35,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2021-07-31 17:48,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2021-11-02 09:29,Potrero de paricion,Supervision del parto.
Lactancia,2021-11-04 10:36,Potrero 6 (7654321-12007),Lactancia con ternero.
Primer Celo posparto,2021-12-09 06:29,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2021-12-09 15:28,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2022-01-27 08:25,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2022-02-06 07:43,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2022-02-07 13:37,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2022-07-26 09:42,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2022-09-18 12:04,Potrero de paricion,Supervision del parto.
Lactancia,2022-09-20 08:01,Potrero 6 (7654321-12007),Lactancia con ternero.
Servicio (IA o natural),2022-11-14 14:28,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2023-01-13 14:41,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2023-01-22 13:19,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-02-06 11:04,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2023-07-21 14:44,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2024-01-17 16:19,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-02-06 17:17,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-07-15 11:14,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-01-11 15:51,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-02-05 15:16,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-07-10 14:26,Potrero 6 (7654321-12007),Antiparasitario programado.
