Hito [UY536045484],Fecha y Hora,Ubicación,Nota
Primer calostro,2023-05-09 09:43,Corral o potrero,Asegurar calostrado.
Nacimiento,2023-05-09 13:40,Potrero de paricion,Registro del nacimiento.
Control de ombligo y signos vitales,2023-05-12 16:58,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2023-05-13 12:56,Manga / campo,Identificacion oficial.
Vacunas iniciales,2023-05-16 10:00,Manga / campo,Plan sanitario local.
Lactancia,2023-05-17 07:21,Campo,Permanencia con la madre.
Revision general de salud,2023-05-18 16:36,Campo / instalaciones,Chequeo clinico.
Ingreso al sistema (SNIG),2023-05-19 18:10,Oficina / app,Registro del nacimiento.
Carga de nacimiento en SNIG,2023-06-18 15:54,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-07-08 09:05,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2023-07-30 13:39,Manga / campo,Marcacion y vacunas.
Desparasitacion,2023-08-07 09:05,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-08-07 17:44,Potrero 6 (7654321-12007),Vacunacion clostridial
Destete,2023-12-13 14:00,Potrero de destete,Separacion de la madre.
Desparasitacion,2024-02-03 11:45,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2024-03-25 14:47,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2024-07-07 07:12,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2024-08-01 14:41,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-08-06 08:17,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Primer Celo,2024-08-06 15:01,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2024-08-31 14:01,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2024-09-20 14:32,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2024-09-20 18:09,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2024-11-19 09:55,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2025-01-28 10:29,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2025-06-30 11:07,Potrero de paricion,Supervision del parto.
Lactancia,2025-07-02 09:01,Potrero 6 (7654321-12007),Lactancia con ternero.
Posparto,2025-07-02 11:08,Potrero 6 (7654321-12007),Periodo posparto.
Desparasitacion,2025-07-27 17:51,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-08-06 10:30,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
