Hito [UY654049436],Fecha y Hora,Ubicación,Nota
Primer calostro,2025-10-21 06:03,Corral o potrero,Asegurar calostrado.
Nacimiento,2025-10-21 15:18,Potrero de paricion,Registro del nacimiento.
Control de ombligo y signos vitales,2025-10-24 16:24,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2025-10-25 10:38,Manga / campo,Identificacion oficial.
Revision general de salud,2025-10-28 08:47,Campo / instalaciones,Chequeo clinico.
Ingreso al sistema (SNIG),2025-10-29 16:13,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2025-11-04 14:18,Manga / campo,Plan sanitario local.
Lactancia,2025-11-28 07:25,Campo,Permanencia con la madre.
Carga de nacimiento en SNIG,2025-11-28 15:04,Oficina / app,Cierre de registro.
Marcacion / caravanas,2025-12-20 08:46,Manga / campo,Marcacion y vacunas.
Vacunacion clostridial,2025-12-20 14:17,Potrero 5 (7654321-12006),Vacunacion clostridial
