Hito [UY224956459],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-11-22 13:14,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2023-11-22 15:58,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2023-11-24 18:30,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2023-11-25 15:54,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2023-11-29 17:42,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2023-12-01 17:45,Manga / campo,Plan sanitario local.
Ingreso al sistema (SNIG),2023-12-02 08:56,Oficina / app,Registro del nacimiento.
Revision general de salud,2023-12-05 12:53,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2024-01-01 16:47,Oficina / app,Cierre de registro.
Guachera (cria artificial),2024-01-14 08:39,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2024-01-21 18:04,Potrero 3 (7654321-12004),Vacunacion clostridial
Destete,2024-01-27 10:44,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2024-02-20 09:07,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2024-02-20 11:27,Potrero 3 (7654321-12004),Vacunacion clostridial
Recria,2024-04-04 16:30,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2024-04-26 08:12,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2024-08-18 14:14,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer Celo,2024-09-06 07:50,Potrero 3 (7654321-12004),Primer celo detectado.
Segundo Celo,2024-09-24 12:31,Potrero 3 (7654321-12004),Segundo celo detectado.
Servicio (IA o natural),2024-10-15 09:35,Potrero 3 (7654321-12004),Servicio exitoso.
Tercer Celo,2024-10-15 10:15,Potrero 3 (7654321-12004),Tercer celo detectado.
Prenez confirmada,2024-12-14 06:01,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2025-02-14 13:16,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2025-02-19 07:39,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Primer servicio (hembras),2025-03-06 15:31,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2025-07-25 11:56,Potrero de maternidad,Supervision del parto.
Inicio ordene,2025-07-26 10:22,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2025-07-27 16:10,Potrero 3 (7654321-12004),Inicio de lactancia.
Desparasitacion,2025-08-13 11:50,Potrero 3 (7654321-12004),Antiparasitario programado.
Servicio (IA o natural),2025-09-24 08:52,Potrero 3 (7654321-12004),Servicio exitoso.
Prenez confirmada,2025-11-23 14:02,Potrero 3 (7654321-12004),Diagnostico de gestacion.
