Hito [UY980472440],Fecha y Hora,Ubicación,Nota
Nacimiento,2021-03-09 07:03,Potrero de paricion,Registro del nacimiento.
Primer calostro,2021-03-10 11:54,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2021-03-11 10:29,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2021-03-11 14:59,Instalaciones sanitarias,Revision sanitaria inicial.
Lactancia,2021-03-15 17:27,Campo,Permanencia con la madre.
Vacunas iniciales,2021-03-17 06:47,Manga / campo,Plan sanitario local.
Revision general de salud,2021-03-18 07:44,Campo / instalaciones,Chequeo clinico.
Ingreso al sistema (SNIG),2021-03-18 09:13,Oficina / app,Registro del nacimiento.
Carga de nacimiento en SNIG,2021-04-10 12:46,Oficina / app,Cierre de registro.
Vacunacion clostridial,2021-05-08 08:47,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2021-05-31 06:44,Manga / campo,Marcacion y vacunas.
Vacunacion clostridial,2021-06-07 14:44,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2021-06-07 17:00,Potrero 6 (7654321-12007),Antiparasitario programado.
Destete,2021-09-11 16:37,Potrero de destete,Separacion de la madre.
Desparasitacion,2021-12-04 10:07,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2021-12-11 13:53,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2022-03-22 08:23,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2022-04-13 08:05,Potrero 6 (7654321-12007),Segundo celo detectado.
Servicio (IA o natural),2022-05-05 06:36,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2022-05-05 09:04,Potrero 6 (7654321-12007),Tercer celo detectado.
Desparasitacion,2022-06-02 08:03,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2022-06-07 10:30,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2022-07-04 12:09,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Seleccion de vientres,2022-08-03 08:01,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2022-11-29 16:02,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2023-02-12 18:11,Potrero de paricion,Supervision del parto.
Lactancia,2023-02-14 13:47,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2023-05-28 15:48,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-06-07 12:46,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2023-11-24 08:32,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2024-05-22 08:00,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-06-06 11:28,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-11-18 12:53,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-05-17 12:43,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-06-06 18:41,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-11-13 13:35,Potrero 6 (7654321-12007),Antiparasitario programado.
