Hito [UY674996843],Fecha y Hora,Ubicación,Nota
Nacimiento,2017-05-08 08:30,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2017-05-08 09:35,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2017-05-09 07:08,Corral de terneros / guachera,Separacion para manejo individual.
Control de ombligo y signos vitales,2017-05-12 08:18,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2017-05-12 11:53,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2017-05-13 08:00,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2017-05-14 16:01,Manga / campo,Plan sanitario local.
Revision general de salud,2017-05-17 17:56,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2017-06-14 16:27,Oficina / app,Cierre de registro.
Guachera (cria artificial),2017-06-20 18:26,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2017-07-07 14:52,Potrero 1 (7654321-12002),Vacunacion clostridial
Destete,2017-07-21 18:44,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2017-08-06 11:02,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2017-08-06 13:24,Potrero 1 (7654321-12002),Vacunacion clostridial
Desparasitacion,2018-02-02 06:36,Potrero 1 (7654321-12002),Antiparasitario programado.
Recria,2018-03-11 15:11,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2018-03-26 14:27,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2018-08-01 13:45,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2018-08-06 11:14,Potrero 1 (7654321-12002),Refuerzo anual clostridial.
Desparasitacion,2019-01-28 11:07,Potrero 1 (7654321-12002),Antiparasitario programado.
Desparasitacion,2019-07-27 15:30,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2019-08-06 08:27,Potrero 1 (7654321-12002),Refuerzo anual clostridial.
Desparasitacion,2020-01-23 17:05,Potrero 1 (7654321-12002),Antiparasitario programado.
Desparasitacion,2020-07-21 08:46,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2020-08-05 15:00,Potrero 1 (7654321-12002),Refuerzo anual clostridial.
Desparasitacion,2021-01-17 17:33,Potrero 1 (7654321-12002),Antiparasitario programado.
Desparasitacion,2021-07-16 18:49,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2021-08-05 15:31,Potrero 1 (7654321-12002),Refuerzo anual clostridial.
Desparasitacion,2022-01-12 10:29,Potrero 1 (7654321-12002),Antiparasitario programado.
Desparasitacion,2022-07-11 14:05,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2022-08-05 17:15,Potrero 1 (7654321-12002),Refuerzo anual clostridial.
Desparasitacion,2023-01-07 14:56,Potrero 1 (7654321-12002),Antiparasitario programado.
Desparasitacion,2023-07-06 15:05,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2023-08-05 17:32,Potrero 1 (7654321-12002),Refuerzo anual clostridial.
Desparasitacion,2024-01-02 09:30,Potrero 1 (7654321-12002),Antiparasitario programado.
Desparasitacion,2024-06-30 16:47,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2024-08-04 10:26,Potrero 1 (7654321-12002),Refuerzo anual clostridial.
Desparasitacion,2024-12-27 16:42,Potrero 1 (7654321-12002),Antiparasitario programado.
Desparasitacion,2025-06-25 07:43,Potrero 1 (7654321-12002),Antiparasitario programado.
Vacunacion clostridial,2025-08-04 14:36,Potrero 1 (7654321-12002),Refuerzo anual clostridial.
Desparasitacion,2025-12-22 16:34,Potrero 1 (7654321-12002),Antiparasitario programado.
