Hito [UY981987993],Fecha y Hora,Ubicación,Nota
Nacimiento,2018-08-13 14:15,Potrero de paricion,Registro del nacimiento.
Primer calostro,2018-08-14 16:31,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2018-08-16 11:49,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2018-08-17 10:49,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2018-08-19 13:14,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2018-08-22 17:05,Manga / campo,Plan sanitario local.
Revision general de salud,2018-08-25 14:53,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2018-09-15 16:41,Oficina / app,Cierre de registro.
Vacunacion clostridial,2018-10-12 11:24,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2018-10-16 07:31,Manga / campo,Marcacion y vacunas.
Desparasitacion,2018-11-11 07:09,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2018-11-11 13:55,Potrero 6 (7654321-12007),Vacunacion clostridial
Destete,2019-02-12 09:00,Potrero de destete,Separacion de la madre.
Lactancia,2019-02-17 09:44,Campo,Permanencia con la madre.
Desparasitacion,2019-05-10 13:56,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2019-07-29 13:52,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2019-08-24 07:21,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2019-09-20 09:52,Potrero 6 (7654321-12007),Segundo celo detectado.
Servicio (IA o natural),2019-10-15 14:32,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2019-10-15 15:48,Potrero 6 (7654321-12007),Tercer celo detectado.
Desparasitacion,2019-11-06 07:47,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2019-11-11 15:32,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Seleccion de vientres,2019-11-14 09:31,Manga / potrero,Seleccion de reposicion.
Prenez confirmada,2019-12-14 11:48,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2020-05-04 07:15,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2020-07-24 10:45,Potrero de paricion,Supervision del parto.
Lactancia,2020-07-26 13:41,Potrero 6 (7654321-12007),Lactancia con ternero.
Servicio (IA o natural),2020-09-17 08:54,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2020-10-31 06:57,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2020-11-10 09:49,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2020-11-16 14:06,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Secado,2021-04-28 08:14,Potrero 6 (7654321-12007),Inicio de periodo seco.
Desparasitacion,2021-04-29 13:11,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2021-10-26 10:01,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2021-11-10 12:12,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2022-04-24 13:42,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2022-10-21 14:28,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2022-11-10 07:17,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2023-04-19 11:16,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2023-10-16 07:59,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-11-10 12:10,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-04-13 14:05,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2024-10-10 11:27,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-11-09 16:19,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-04-08 09:09,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-10-05 12:32,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-11-09 15:41,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
