Hito [UY990307112],Fecha y Hora,Ubicación,Nota
Primer calostro,2017-10-04 08:55,Corral o potrero,Asegurar calostrado.
Nacimiento,2017-10-04 11:36,Potrero / corral de maternidad,Registro del nacimiento.
Separacion de la madre,2017-10-06 06:29,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2017-10-06 08:49,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2017-10-10 06:26,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2017-10-11 10:46,Oficina / app,Registro del nacimiento.
Revision general de salud,2017-10-13 07:57,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2017-10-16 10:40,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2017-11-05 09:00,Oficina / app,Cierre de registro.
Guachera (cria artificial),2017-11-06 13:34,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2017-12-03 07:48,Tambo Antonina (7654321-12001),Vacunacion clostridial
Destete,2017-12-03 15:56,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2018-01-02 12:53,Tambo Antonina (7654321-12001),Vacunacion clostridial
Desparasitacion,2018-01-02 17:13,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2018-07-01 15:03,Tambo Antonina (7654321-12001),Antiparasitario programado.
Primer Celo,2018-09-01 15:00,Tambo Antonina (7654321-12001),Primer celo detectado.
Seleccion,2018-09-02 13:26,Manga / campo,Seleccion de reposicion o descarte.
Recria,2018-09-11 09:13,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Segundo Celo,2018-09-22 09:56,Tambo Antonina (7654321-12001),Segundo celo detectado.
Tercer Celo,2018-10-11 14:17,Tambo Antonina (7654321-12001),Tercer celo detectado.
Servicio (IA o natural),2018-10-11 15:40,Tambo Antonina (7654321-12001),Servicio exitoso.
Prenez confirmada,2018-12-10 14:52,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2018-12-28 07:36,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2019-01-02 14:04,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Primer servicio (hembras),2019-02-22 07:38,Campo / brete / veterinario,Inicio de vida reproductiva.
Desparasitacion,2019-06-26 17:40,Tambo Antonina (7654321-12001),Antiparasitario programado.
Paricion,2019-07-21 09:03,Potrero de maternidad,Supervision del parto.
Inicio ordene,2019-07-22 08:09,Tambo Antonina (7654321-12001),Ingreso a rutina.
Lactancia,2019-07-23 06:41,Tambo Antonina (7654321-12001),Inicio de lactancia.
Servicio (IA o natural),2019-09-16 08:54,Tambo Antonina (7654321-12001),Servicio exitoso.
Primer Celo posparto,2019-09-16 11:02,Tambo Antonina (7654321-12001),Retorno al celo.
Prenez confirmada,2019-11-15 06:42,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2019-12-23 14:05,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2020-01-02 10:30,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2020-06-20 13:46,Tambo Antonina (7654321-12001),Antiparasitario programado.
Paricion,2020-06-25 15:53,Potrero de maternidad,Supervision del parto.
Inicio ordene,2020-06-26 15:19,Tambo Antonina (7654321-12001),Ingreso a rutina.
Lactancia,2020-06-27 11:58,Tambo Antonina (7654321-12001),Inicio de lactancia.
Primer Celo posparto,2020-08-19 07:03,Tambo Antonina (7654321-12001),Retorno al celo.
Servicio (IA o natural),2020-08-19 07:26,Tambo Antonina (7654321-12001),Servicio exitoso.
Prenez confirmada,2020-10-18 08:10,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2020-12-17 17:38,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2021-01-01 08:07,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Paricion,2021-05-29 16:18,Potrero de maternidad,Supervision del parto.
Inicio ordene,2021-05-30 15:42,Tambo Antonina (7654321-12001),Ingreso a rutina.
Lactancia,2021-05-31 17:44,Tambo Antonina (7654321-12001),Inicio de lactancia.
Desparasitacion,2021-06-15 18:45,Tambo Antonina (7654321-12001),Antiparasitario programado.
Primer Celo posparto,2021-07-28 15:36,Tambo Antonina (7654321-12001),Retorno al celo.
Servicio (IA o natural),2021-07-28 18:35,Tambo Antonina (7654321-12001),Servicio exitoso.
Prenez confirmada,2021-09-26 08:29,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2021-12-12 10:27,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2022-01-01 17:55,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Paricion,2022-05-07 17:37,Potrero de maternidad,Supervision del parto.
Inicio ordene,2022-05-08 11:59,Tambo Antonina (7654321-12001),Ingreso a rutina.
Lactancia,2022-05-09 06:05,Tambo Antonina (7654321-12001),Inicio de lactancia.
Desparasitacion,2022-06-10 15:54,Tambo Antonina (7654321-12001),Antiparasitario programado.
Servicio (IA o natural),2022-06-30 18:19,Tambo Antonina (7654321-12001),Servicio exitoso.
Prenez confirmada,2022-08-29 11:23,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2022-12-07 11:16,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2023-01-01 10:21,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Secado,2023-02-08 12:52,Tambo Antonina (7654321-12001),Inicio de periodo seco.
Desparasitacion,2023-06-05 14:36,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2023-12-02 15:22,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-01-01 14:26,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2024-05-30 08:39,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2024-11-26 15:31,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-12-31 14:13,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Desparasitacion,2025-05-25 14:46,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2025-11-21 16:31,Tambo Antonina (7654321-12001),Antiparasitario programado.
