Hito [UY492688426],Fecha y Hora,Ubicación,Nota
Primer calostro,2024-08-09 08:20,Corral o potrero,Asegurar calostrado.
Nacimiento,2024-08-09 10:54,Potrero de paricion,Registro del nacimiento.
Colocacion de caravana oficial,2024-08-10 08:11,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2024-08-12 13:09,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2024-08-12 16:30,Oficina / app,Registro del nacimiento.
Revision general de salud,2024-08-18 10:56,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2024-08-20 11:01,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2024-09-09 08:43,Oficina / app,Cierre de registro.
Vacunacion clostridial,2024-10-08 18:06,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2024-10-30 13:37,Manga / campo,Marcacion y vacunas.
Vacunacion clostridial,2024-11-07 07:19,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2024-11-07 11:28,Potrero 6 (7654321-12007),Antiparasitario programado.
Destete,2025-02-05 13:55,Potrero de destete,Separacion de la madre.
Lactancia,2025-02-19 06:38,Campo,Permanencia con la madre.
Desparasitacion,2025-05-06 13:47,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2025-08-10 13:07,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2025-08-15 06:36,Manga / potrero,Seleccion de reposicion.
Primer Celo,2025-10-09 16:18,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2025-10-31 09:33,Potrero 6 (7654321-12007),Segundo celo detectado.
Desparasitacion,2025-11-02 11:34,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-11-07 18:47,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Tercer Celo,2025-11-21 14:10,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2025-11-21 18:09,Potrero 6 (7654321-12007),Servicio exitoso.
