Hito [UY286665249],Fecha y Hora,Ubicación,Nota
Nacimiento,2024-12-10 12:58,Potrero de paricion,Registro del nacimiento.
Primer calostro,2024-12-11 13:54,Corral o potrero,Asegurar calostrado.
Control de ombligo y signos vitales,2024-12-13 06:28,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2024-12-15 18:00,Oficina / app,Registro del nacimiento.
Colocacion de caravana oficial,2024-12-15 18:43,Manga / campo,Identificacion oficial.
Revision general de salud,2024-12-22 11:25,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2024-12-23 07:05,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2025-01-11 12:03,Oficina / app,Cierre de registro.
Vacunacion clostridial,2025-02-08 14:55,Potrero 5 (7654321-12006),Vacunacion clostridial
Vacunacion clostridial,2025-03-10 10:46,Potrero 5 (7654321-12006),Vacunacion clostridial
Desparasitacion,2025-03-10 17:20,Potrero 5 (7654321-12006),Antiparasitario programado.
Lactancia,2025-03-20 18:02,Campo,Permanencia con la madre.
Marcacion / caravanas,2025-03-22 16:09,Manga / campo,Marcacion y vacunas.
Destete,2025-08-04 15:03,Potrero de destete,Separacion de la madre.
Desparasitacion,2025-09-06 11:00,Potrero 5 (7654321-12006),Antiparasitario programado.
Seleccion de vientres,2025-12-17 16:44,Manga / potrero,Seleccion de reposicion.
Recria,2025-12-18 10:26,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
