Hitos UY7654321-000003,Fecha,Ubicación,Nota
Nacimiento (Día 0),2020-03-12,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Parto; evaluación inicial del ternero y secado.
Calostrado (Día 0),2020-03-12,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Ingesta de calostro (idealmente en las primeras 2 horas).
Identificación (Día 1),2020-03-13,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Colocación de caravana; registro DICOSE; toma de peso inicial.
Ombligo (Día 3),2020-03-15,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Desinfección y control de ombligo; prevención de onfalitis.
Control sanitario (Día 7),2020-03-19,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Chequeo general; control de diarreas neonatales y temperatura.
Cambio de dieta (Día 14),2020-03-26,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Inicio de consumo de concentrado/forraje (según sistema).
Manejo (Día 21),2020-04-02,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Descornado/descorne temprano (si aplica) y/o manejo en manga.
Desparasitación (Día 30),2020-04-11,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Primer antiparasitario (según criterio sanitario del predio).
Control 40 días (Día 40),2020-04-21,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Revisión de crecimiento; condición; ajuste de alimentación.
Destete,2020-09-08,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Fin del período de lactancia del ternero (manejo típico del sistema).
Pubertad / madurez sexual,2021-04-16,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Edad aproximada; se habilita selección para recría o servicio.
Servicio (1),2021-06-11,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Detección de celo e inseminación/servicio. Se asume preñez en este servicio.
Parto (1),2022-03-21,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Inicio de lactancia/posparto.
Servicio (2),2022-05-20,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (1),2022-09-17,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Destete del ternero (referencial).
Parto (2),2023-02-27,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Posparto; inicio de lactancia si aplica.
Servicio (3),2023-04-28,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (2),2023-08-26,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Destete del ternero (referencial).
Parto (3),2024-02-05,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Posparto; inicio de lactancia si aplica.
Servicio (4),2024-04-05,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (3),2024-08-03,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Destete del ternero (referencial).
Parto (4),2025-01-13,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Posparto; inicio de lactancia si aplica.
Servicio (5),2025-03-14,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Detección de celo posparto y servicio. Se asume preñez en este servicio.
Destete de cría (4),2025-07-12,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Destete del ternero (referencial).
Parto (5),2025-12-22,"Potrero 5 (Padrón 11006, Manga: Manga Potrero 5)",Posparto; inicio de lactancia si aplica.
