Hito [UY034126396],Fecha y Hora,Ubicación,Nota
Primer calostro,2023-11-16 09:13,Corral o potrero,Asegurar calostrado.
Nacimiento,2023-11-16 12:39,Potrero / corral de maternidad,Registro del nacimiento.
Colocacion de caravana oficial,2023-11-17 07:38,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2023-11-17 13:38,Instalaciones sanitarias,Revision sanitaria inicial.
Separacion de la madre,2023-11-18 09:52,Corral de terneros / guachera,Separacion para manejo individual.
Ingreso al sistema (SNIG),2023-11-19 09:47,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2023-11-21 12:28,Manga / campo,Plan sanitario local.
Revision general de salud,2023-11-26 14:13,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2023-12-16 08:32,Oficina / app,Cierre de registro.
Vacunacion clostridial,2024-01-15 11:44,Tambo Antonina (7654321-12001),Vacunacion clostridial
Guachera (cria artificial),2024-01-15 17:36,Guachera,Cria artificial y control sanitario.
Destete,2024-01-25 15:38,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2024-02-14 12:11,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-02-14 12:26,Tambo Antonina (7654321-12001),Vacunacion clostridial
Seleccion,2024-04-27 16:33,Manga / campo,Seleccion de reposicion o descarte.
Recria,2024-07-27 09:19,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Desparasitacion,2024-08-12 18:34,Tambo Antonina (7654321-12001),Antiparasitario programado.
Primer Celo,2024-08-30 10:03,Tambo Antonina (7654321-12001),Primer celo detectado.
Segundo Celo,2024-09-18 14:37,Tambo Antonina (7654321-12001),Segundo celo detectado.
Servicio (IA o natural),2024-10-12 08:40,Tambo Antonina (7654321-12001),Servicio exitoso.
Tercer Celo,2024-10-12 17:58,Tambo Antonina (7654321-12001),Tercer celo detectado.
Prenez confirmada,2024-12-11 16:27,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2025-02-08 13:15,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2025-02-13 08:19,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Primer servicio (hembras),2025-03-08 12:19,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2025-07-22 14:31,Potrero de maternidad,Supervision del parto.
Inicio ordene,2025-07-23 06:22,Tambo Antonina (7654321-12001),Ingreso a rutina.
Lactancia,2025-07-24 16:42,Tambo Antonina (7654321-12001),Inicio de lactancia.
Desparasitacion,2025-08-07 09:19,Tambo Antonina (7654321-12001),Antiparasitario programado.
Celo detectado,2025-12-07 18:33,Tambo Antonina (7654321-12001),En espera de servicio.
