Hito [UY228306011],Fecha y Hora,Ubicación,Nota
Nacimiento,2018-05-22 10:57,Potrero de paricion,Registro del nacimiento.
Primer calostro,2018-05-23 14:52,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2018-05-23 17:31,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2018-05-28 13:26,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2018-05-31 11:22,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2018-06-04 12:33,Manga / campo,Plan sanitario local.
Revision general de salud,2018-06-10 11:07,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2018-06-23 13:27,Oficina / app,Cierre de registro.
Vacunacion clostridial,2018-07-21 12:43,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2018-08-20 08:36,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2018-08-20 09:00,Potrero 6 (7654321-12007),Vacunacion clostridial
Lactancia,2018-08-25 08:35,Campo,Permanencia con la madre.
Marcacion / caravanas,2018-08-28 08:34,Manga / campo,Marcacion y vacunas.
Destete,2018-12-15 12:18,Potrero de destete,Separacion de la madre.
Desparasitacion,2019-02-16 12:15,Potrero 6 (7654321-12007),Antiparasitario programado.
Primer Celo,2019-06-09 07:05,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2019-07-01 18:53,Potrero 6 (7654321-12007),Segundo celo detectado.
Tercer Celo,2019-07-25 07:05,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2019-07-25 16:01,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2019-08-15 14:25,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2019-08-20 12:02,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Recria,2019-08-28 16:18,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Prenez confirmada,2019-09-23 15:59,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Seleccion de vientres,2019-11-12 15:59,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2020-02-11 09:39,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2020-05-03 12:06,Potrero de paricion,Supervision del parto.
Lactancia,2020-05-05 13:47,Potrero 6 (7654321-12007),Lactancia con ternero.
Servicio (IA o natural),2020-06-29 14:06,Potrero 6 (7654321-12007),Servicio exitoso.
Primer Celo posparto,2020-06-29 18:39,Potrero 6 (7654321-12007),Retorno al celo.
Desparasitacion,2020-08-09 16:25,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2020-08-19 06:01,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2020-08-28 16:28,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2021-02-05 06:51,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2021-04-08 14:37,Potrero de paricion,Supervision del parto.
Lactancia,2021-04-10 18:02,Potrero 6 (7654321-12007),Lactancia con ternero.
Servicio (IA o natural),2021-05-21 12:13,Potrero 6 (7654321-12007),Servicio exitoso.
Primer Celo posparto,2021-05-21 16:18,Potrero 6 (7654321-12007),Retorno al celo.
Prenez confirmada,2021-07-20 09:49,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2021-08-04 15:27,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2021-08-19 08:50,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2022-01-31 08:40,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2022-02-28 13:35,Potrero de paricion,Supervision del parto.
Lactancia,2022-03-02 12:07,Potrero 6 (7654321-12007),Lactancia con ternero.
