Hito [UY799925830],Fecha y Hora,Ubicación,Nota
Nacimiento,2024-11-27 07:11,Potrero de paricion,Registro del nacimiento.
Primer calostro,2024-11-27 11:41,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2024-12-02 11:29,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2024-12-03 18:08,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2024-12-04 18:48,Oficina / app,Registro del nacimiento.
Revision general de salud,2024-12-10 07:58,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2024-12-12 10:59,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2025-01-06 13:24,Oficina / app,Cierre de registro.
Vacunacion clostridial,2025-01-26 11:37,Potrero 5 (7654321-12006),Vacunacion clostridial
Marcacion / caravanas,2025-02-06 15:45,Manga / campo,Marcacion y vacunas.
Desparasitacion,2025-02-25 12:04,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-02-25 15:53,Potrero 5 (7654321-12006),Vacunacion clostridial
Lactancia,2025-03-27 15:42,Campo,Permanencia con la madre.
Destete,2025-07-24 14:49,Potrero de destete,Separacion de la madre.
Desparasitacion,2025-08-24 06:01,Potrero 5 (7654321-12006),Antiparasitario programado.
Recria,2025-12-06 10:08,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Seleccion de vientres,2025-12-12 15:37,Manga / potrero,Seleccion de reposicion.
