Hito [UY388690725],Fecha y Hora,Ubicación,Nota
Nacimiento,2025-09-20 13:24,Potrero de paricion,Registro del nacimiento.
Primer calostro,2025-09-21 13:11,Corral o potrero,Asegurar calostrado.
Control de ombligo y signos vitales,2025-09-23 18:06,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2025-09-25 17:37,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2025-09-26 10:31,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2025-09-30 06:36,Manga / campo,Plan sanitario local.
Revision general de salud,2025-10-05 14:37,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2025-10-28 12:18,Oficina / app,Cierre de registro.
Lactancia,2025-10-31 12:20,Campo,Permanencia con la madre.
Vacunacion clostridial,2025-11-19 17:13,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2025-11-21 17:56,Manga / campo,Marcacion y vacunas.
Castracion (si aplica),2025-12-07 08:09,Brete / campo,Castracion sanitaria.
Desparasitacion,2025-12-19 10:36,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-12-19 12:33,Potrero 6 (7654321-12007),Vacunacion clostridial
