Hito [UY796233790],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-11-20 11:14,Potrero / corral de maternidad,Registro del nacimiento.
Separacion de la madre,2022-11-21 08:38,Corral de terneros / guachera,Separacion para manejo individual.
Control de ombligo y signos vitales,2022-11-21 14:32,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2022-11-21 14:40,Manga / campo,Identificacion oficial.
Primer calostro,2022-11-21 18:10,Corral o potrero,Asegurar calostrado.
Ingreso al sistema (SNIG),2022-11-26 18:22,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2022-11-30 17:52,Manga / campo,Plan sanitario local.
Guachera (cria artificial),2022-12-01 18:48,Guachera,Cria artificial y control sanitario.
Revision general de salud,2022-12-07 08:15,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2022-12-21 08:16,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-01-19 12:29,Potrero 3 (7654321-12004),Vacunacion clostridial
Destete,2023-01-21 08:49,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2023-02-18 15:35,Potrero 3 (7654321-12004),Vacunacion clostridial
Desparasitacion,2023-02-18 18:36,Potrero 3 (7654321-12004),Antiparasitario programado.
Desparasitacion,2023-08-17 16:12,Potrero 3 (7654321-12004),Antiparasitario programado.
Primer Celo,2023-09-03 15:20,Potrero 3 (7654321-12004),Primer celo detectado.
Segundo Celo,2023-09-23 16:20,Potrero 3 (7654321-12004),Segundo celo detectado.
Seleccion,2023-10-05 16:59,Manga / campo,Seleccion de reposicion o descarte.
Servicio (IA o natural),2023-10-14 07:30,Potrero 3 (7654321-12004),Servicio exitoso.
Tercer Celo,2023-10-14 08:28,Potrero 3 (7654321-12004),Tercer celo detectado.
Recria,2023-10-28 13:48,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Prenez confirmada,2023-12-13 13:40,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2024-02-13 11:38,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2024-02-18 18:47,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Primer servicio (hembras),2024-04-25 16:40,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2024-07-23 10:50,Potrero de maternidad,Supervision del parto.
Inicio ordene,2024-07-24 10:37,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2024-07-25 06:22,Potrero 3 (7654321-12004),Inicio de lactancia.
Desparasitacion,2024-08-11 13:32,Potrero 3 (7654321-12004),Antiparasitario programado.
Servicio (IA o natural),2024-09-14 10:29,Potrero 3 (7654321-12004),Servicio exitoso.
Primer Celo posparto,2024-09-14 14:04,Potrero 3 (7654321-12004),Retorno al celo.
Prenez confirmada,2024-11-13 13:02,Potrero 3 (7654321-12004),Diagnostico de gestacion.
Desparasitacion,2025-02-07 08:03,Potrero 3 (7654321-12004),Antiparasitario programado.
Vacunacion clostridial,2025-02-17 06:28,Potrero 3 (7654321-12004),Refuerzo anual clostridial.
Paricion,2025-06-24 06:23,Potrero de maternidad,Supervision del parto.
Inicio ordene,2025-06-25 10:04,Potrero 3 (7654321-12004),Ingreso a rutina.
Lactancia,2025-06-26 16:55,Potrero 3 (7654321-12004),Inicio de lactancia.
Desparasitacion,2025-08-06 13:06,Potrero 3 (7654321-12004),Antiparasitario programado.
Servicio (IA o natural),2025-08-27 07:39,Potrero 3 (7654321-12004),Servicio exitoso.
Prenez confirmada,2025-10-26 15:32,Potrero 3 (7654321-12004),Diagnostico de gestacion.
