Hito [UY034467368],Fecha y Hora,Ubicación,Nota
Nacimiento,2020-11-17 15:02,Potrero de paricion,Registro del nacimiento.
Primer calostro,2020-11-18 08:43,Corral o potrero,Asegurar calostrado.
Control de ombligo y signos vitales,2020-11-18 11:53,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2020-11-22 09:11,Manga / campo,Identificacion oficial.
Vacunas iniciales,2020-11-22 12:31,Manga / campo,Plan sanitario local.
Ingreso al sistema (SNIG),2020-11-22 14:22,Oficina / app,Registro del nacimiento.
Revision general de salud,2020-11-30 08:23,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2020-12-18 11:58,Oficina / app,Cierre de registro.
Vacunacion clostridial,2021-01-16 12:22,Potrero 5 (7654321-12006),Vacunacion clostridial
Vacunacion clostridial,2021-02-15 06:06,Potrero 5 (7654321-12006),Vacunacion clostridial
Desparasitacion,2021-02-15 07:58,Potrero 5 (7654321-12006),Antiparasitario programado.
Marcacion / caravanas,2021-02-19 18:54,Manga / campo,Marcacion y vacunas.
Lactancia,2021-05-09 09:53,Campo,Permanencia con la madre.
Destete,2021-05-23 10:19,Potrero de destete,Separacion de la madre.
Desparasitacion,2021-08-14 13:00,Potrero 5 (7654321-12006),Antiparasitario programado.
Primer Celo,2021-11-27 16:36,Potrero 5 (7654321-12006),Primer celo detectado.
Segundo Celo,2021-12-20 12:13,Potrero 5 (7654321-12006),Segundo celo detectado.
Seleccion de vientres,2022-01-05 06:47,Manga / potrero,Seleccion de reposicion.
Tercer Celo,2022-01-11 10:59,Potrero 5 (7654321-12006),Tercer celo detectado.
Servicio (IA o natural),2022-01-11 16:32,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2022-02-10 08:49,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2022-02-15 12:31,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2022-03-12 06:59,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Recria,2022-03-19 10:16,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Desparasitacion,2022-08-09 16:16,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2022-10-21 13:57,Potrero de paricion,Supervision del parto.
Lactancia,2022-10-23 15:54,Potrero 5 (7654321-12006),Lactancia con ternero.
Servicio (IA o natural),2022-12-20 11:00,Potrero 5 (7654321-12006),Servicio exitoso.
Primer Celo posparto,2022-12-20 13:03,Potrero 5 (7654321-12006),Retorno al celo.
Desparasitacion,2023-02-05 09:30,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-02-15 09:05,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2023-02-18 15:29,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2023-08-04 12:23,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2023-09-29 11:19,Potrero de paricion,Supervision del parto.
Lactancia,2023-10-01 11:06,Potrero 5 (7654321-12006),Lactancia con ternero.
Servicio (IA o natural),2023-11-27 06:22,Potrero 5 (7654321-12006),Servicio exitoso.
Prenez confirmada,2024-01-26 17:11,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2024-01-31 10:23,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-02-15 14:32,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2024-07-29 12:57,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2025-01-25 08:34,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-02-14 08:26,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2025-07-24 18:17,Potrero 5 (7654321-12006),Antiparasitario programado.
