Hito [UY050590821],Fecha y Hora,Ubicación,Nota
Nacimiento,2017-02-07 14:25,Potrero de paricion,Registro del nacimiento.
Primer calostro,2017-02-08 18:24,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2017-02-11 11:19,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2017-02-11 15:53,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2017-02-14 14:20,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2017-02-15 08:40,Manga / campo,Plan sanitario local.
Revision general de salud,2017-02-27 10:45,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2017-03-11 12:35,Oficina / app,Cierre de registro.
Vacunacion clostridial,2017-04-08 15:52,Potrero 5 (7654321-12006),Vacunacion clostridial
Vacunacion clostridial,2017-05-08 06:55,Potrero 5 (7654321-12006),Vacunacion clostridial
Desparasitacion,2017-05-08 11:01,Potrero 5 (7654321-12006),Antiparasitario programado.
Marcacion / caravanas,2017-05-28 10:43,Manga / campo,Marcacion y vacunas.
Lactancia,2017-05-31 13:44,Campo,Permanencia con la madre.
Destete,2017-08-13 14:57,Potrero de destete,Separacion de la madre.
Desparasitacion,2017-11-04 15:57,Potrero 5 (7654321-12006),Antiparasitario programado.
Seleccion de vientres,2018-03-19 06:55,Manga / potrero,Seleccion de reposicion.
Primer Celo,2018-04-20 11:54,Potrero 5 (7654321-12006),Primer celo detectado.
Desparasitacion,2018-05-03 17:09,Potrero 5 (7654321-12006),Antiparasitario programado.
Segundo Celo,2018-05-07 13:49,Potrero 5 (7654321-12006),Segundo celo detectado.
Vacunacion clostridial,2018-05-08 17:59,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Recria,2018-05-15 16:22,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Tercer Celo,2018-06-03 16:22,Potrero 5 (7654321-12006),Tercer celo detectado.
Servicio (IA o natural),2018-06-03 17:27,Potrero 5 (7654321-12006),Servicio exitoso.
Prenez confirmada,2018-08-02 09:39,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2018-10-30 17:47,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2019-03-13 14:56,Potrero de paricion,Supervision del parto.
Lactancia,2019-03-15 09:24,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2019-04-28 08:55,Potrero 5 (7654321-12006),Antiparasitario programado.
Primer Celo posparto,2019-05-06 11:11,Potrero 5 (7654321-12006),Retorno al celo.
Servicio (IA o natural),2019-05-06 17:00,Potrero 5 (7654321-12006),Servicio exitoso.
Vacunacion clostridial,2019-05-08 13:38,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2019-07-05 09:28,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2019-10-25 08:05,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2020-02-13 11:33,Potrero de paricion,Supervision del parto.
Lactancia,2020-02-15 09:00,Potrero 5 (7654321-12006),Lactancia con ternero.
Servicio (IA o natural),2020-04-09 11:06,Potrero 5 (7654321-12006),Servicio exitoso.
Primer Celo posparto,2020-04-09 15:19,Potrero 5 (7654321-12006),Retorno al celo.
Desparasitacion,2020-04-22 12:53,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2020-05-07 16:29,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2020-06-08 11:58,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2020-10-19 07:03,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2021-01-17 10:32,Potrero de paricion,Supervision del parto.
Lactancia,2021-01-19 06:38,Potrero 5 (7654321-12006),Lactancia con ternero.
Primer Celo posparto,2021-03-17 10:02,Potrero 5 (7654321-12006),Retorno al celo.
Servicio (IA o natural),2021-03-17 16:17,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2021-04-17 13:40,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2021-05-07 13:11,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2021-05-16 16:30,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2021-10-14 17:03,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2021-12-25 12:02,Potrero de paricion,Supervision del parto.
Lactancia,2021-12-27 17:45,Potrero 5 (7654321-12006),Lactancia con ternero.
Servicio (IA o natural),2022-02-12 10:17,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2022-04-12 11:06,Potrero 5 (7654321-12006),Antiparasitario programado.
Prenez confirmada,2022-04-13 16:03,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Vacunacion clostridial,2022-05-07 13:47,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2022-10-09 14:17,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2023-04-07 09:41,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-05-07 16:48,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
