Hito [UY825276600],Fecha y Hora,Ubicación,Nota
Nacimiento,2018-08-23 09:22,Potrero de paricion,Registro del nacimiento.
Primer calostro,2018-08-23 16:55,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2018-08-27 17:32,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2018-08-28 08:32,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2018-08-28 09:06,Manga / campo,Plan sanitario local.
Ingreso al sistema (SNIG),2018-08-31 16:44,Oficina / app,Registro del nacimiento.
Revision general de salud,2018-09-06 08:57,Campo / instalaciones,Chequeo clinico.
Lactancia,2018-09-10 17:13,Campo,Permanencia con la madre.
Carga de nacimiento en SNIG,2018-09-25 17:20,Oficina / app,Cierre de registro.
Vacunacion clostridial,2018-10-22 07:07,Potrero 5 (7654321-12006),Vacunacion clostridial
Vacunacion clostridial,2018-11-21 08:57,Potrero 5 (7654321-12006),Vacunacion clostridial
Desparasitacion,2018-11-21 10:34,Potrero 5 (7654321-12006),Antiparasitario programado.
Marcacion / caravanas,2018-11-22 09:36,Manga / campo,Marcacion y vacunas.
Destete,2019-03-31 15:00,Potrero de destete,Separacion de la madre.
Recria,2019-05-13 12:13,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Desparasitacion,2019-05-20 10:18,Potrero 5 (7654321-12006),Antiparasitario programado.
Primer Celo,2019-09-04 10:00,Potrero 5 (7654321-12006),Primer celo detectado.
Segundo Celo,2019-09-29 09:42,Potrero 5 (7654321-12006),Segundo celo detectado.
Tercer Celo,2019-10-21 11:11,Potrero 5 (7654321-12006),Tercer celo detectado.
Servicio (IA o natural),2019-10-21 12:52,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2019-11-16 15:16,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2019-11-21 18:31,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2019-12-20 09:23,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Seleccion de vientres,2020-02-10 07:59,Manga / potrero,Seleccion de reposicion.
Desparasitacion,2020-05-14 07:48,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2020-07-30 12:02,Potrero de paricion,Supervision del parto.
Lactancia,2020-08-01 08:09,Potrero 5 (7654321-12006),Lactancia con ternero.
Primer Celo posparto,2020-09-15 15:15,Potrero 5 (7654321-12006),Retorno al celo.
Servicio (IA o natural),2020-09-15 15:42,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2020-11-10 07:25,Potrero 5 (7654321-12006),Antiparasitario programado.
Prenez confirmada,2020-11-14 10:56,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Vacunacion clostridial,2020-11-20 07:11,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2021-05-09 09:05,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2021-06-25 12:43,Potrero de paricion,Supervision del parto.
Lactancia,2021-06-27 15:45,Potrero 5 (7654321-12006),Lactancia con ternero.
Servicio (IA o natural),2021-08-20 09:56,Potrero 5 (7654321-12006),Servicio exitoso.
Primer Celo posparto,2021-08-20 16:19,Potrero 5 (7654321-12006),Retorno al celo.
Prenez confirmada,2021-10-19 16:47,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2021-11-05 14:54,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2021-11-20 14:20,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2022-05-04 13:12,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2022-05-30 10:26,Potrero de paricion,Supervision del parto.
Lactancia,2022-06-01 17:00,Potrero 5 (7654321-12006),Lactancia con ternero.
Servicio (IA o natural),2022-07-17 12:24,Potrero 5 (7654321-12006),Servicio exitoso.
Primer Celo posparto,2022-07-17 12:52,Potrero 5 (7654321-12006),Retorno al celo.
Prenez confirmada,2022-09-15 10:53,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2022-10-31 08:33,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2022-11-20 08:47,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Paricion,2023-04-26 09:52,Potrero de paricion,Supervision del parto.
Lactancia,2023-04-28 18:31,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2023-04-29 06:30,Potrero 5 (7654321-12006),Antiparasitario programado.
Servicio (IA o natural),2023-06-21 06:40,Potrero 5 (7654321-12006),Servicio exitoso.
Primer Celo posparto,2023-06-21 10:38,Potrero 5 (7654321-12006),Retorno al celo.
Prenez confirmada,2023-08-20 17:25,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2023-10-26 13:06,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-11-20 10:43,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Paricion,2024-03-30 06:44,Potrero de paricion,Supervision del parto.
Lactancia,2024-04-01 18:28,Potrero 5 (7654321-12006),Lactancia con ternero.
Desparasitacion,2024-04-23 07:14,Potrero 5 (7654321-12006),Antiparasitario programado.
Servicio (IA o natural),2024-06-01 08:42,Potrero 5 (7654321-12006),Servicio exitoso.
Prenez confirmada,2024-07-31 17:14,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2024-10-20 06:53,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-11-19 17:59,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Secado,2025-01-10 07:40,Potrero 5 (7654321-12006),Inicio de periodo seco.
Desparasitacion,2025-04-18 12:11,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2025-10-15 07:48,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-11-19 17:25,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
