Hito [UY609004943],Fecha y Hora,Ubicación,Nota
Nacimiento,2023-10-12 17:53,Potrero de paricion,Registro del nacimiento.
Primer calostro,2023-10-13 15:32,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2023-10-15 17:14,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2023-10-16 08:17,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2023-10-16 14:24,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2023-10-19 17:13,Manga / campo,Plan sanitario local.
Revision general de salud,2023-10-25 15:03,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2023-11-14 12:11,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-12-11 11:01,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2024-01-10 07:04,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-01-10 09:18,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2024-01-18 07:52,Manga / campo,Marcacion y vacunas.
Lactancia,2024-05-09 17:35,Campo,Permanencia con la madre.
Destete,2024-05-23 13:30,Potrero de destete,Separacion de la madre.
Desparasitacion,2024-07-08 09:38,Potrero 6 (7654321-12007),Antiparasitario programado.
Primer Celo,2024-11-02 06:51,Potrero 6 (7654321-12007),Primer celo detectado.
Recria,2024-11-15 16:41,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Segundo Celo,2024-11-28 11:41,Potrero 6 (7654321-12007),Segundo celo detectado.
Servicio (IA o natural),2024-12-18 10:06,Potrero 6 (7654321-12007),Servicio exitoso.
Servicio (IA o natural),2024-12-18 11:38,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2024-12-18 12:12,Potrero 6 (7654321-12007),Tercer celo detectado.
Desparasitacion,2025-01-04 06:48,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-01-09 08:34,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Seleccion de vientres,2025-01-17 12:10,Manga / potrero,Seleccion de reposicion.
Prenez confirmada,2025-02-16 07:04,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Prenez confirmada,2025-02-16 18:54,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2025-07-03 10:12,Potrero 6 (7654321-12007),Antiparasitario programado.
