Hito [UY940992571],Fecha y Hora,Ubicación,Nota
Primer calostro,2020-02-08 09:17,Corral o potrero,Asegurar calostrado.
Nacimiento,2020-02-08 14:12,Potrero de paricion,Registro del nacimiento.
Colocacion de caravana oficial,2020-02-09 15:36,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2020-02-09 15:50,Instalaciones sanitarias,Revision sanitaria inicial.
Revision general de salud,2020-02-15 11:48,Campo / instalaciones,Chequeo clinico.
Ingreso al sistema (SNIG),2020-02-18 06:03,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2020-02-18 07:19,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2020-03-13 12:32,Oficina / app,Cierre de registro.
Lactancia,2020-03-28 11:48,Campo,Permanencia con la madre.
Vacunacion clostridial,2020-04-08 14:33,Potrero 5 (7654321-12006),Vacunacion clostridial
Marcacion / caravanas,2020-05-03 17:22,Manga / campo,Marcacion y vacunas.
Desparasitacion,2020-05-08 15:54,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2020-05-08 17:38,Potrero 5 (7654321-12006),Vacunacion clostridial
Destete,2020-08-14 17:43,Potrero de destete,Separacion de la madre.
Desparasitacion,2020-11-04 12:02,Potrero 5 (7654321-12006),Antiparasitario programado.
Recria,2020-11-23 11:26,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Primer Celo,2021-04-05 18:49,Potrero 5 (7654321-12006),Primer celo detectado.
Desparasitacion,2021-05-03 17:49,Potrero 5 (7654321-12006),Antiparasitario programado.
Segundo Celo,2021-05-06 08:01,Potrero 5 (7654321-12006),Segundo celo detectado.
Vacunacion clostridial,2021-05-08 16:33,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Servicio (IA o natural),2021-05-23 12:30,Potrero 5 (7654321-12006),Servicio exitoso.
Tercer Celo,2021-05-23 15:50,Potrero 5 (7654321-12006),Tercer celo detectado.
Seleccion de vientres,2021-06-10 07:32,Manga / potrero,Seleccion de reposicion.
Prenez confirmada,2021-07-22 15:55,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2021-10-30 16:24,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2022-03-02 06:18,Potrero de paricion,Supervision del parto.
Lactancia,2022-03-04 08:09,Potrero 5 (7654321-12006),Lactancia con ternero.
Servicio (IA o natural),2022-04-17 07:56,Potrero 5 (7654321-12006),Servicio exitoso.
Primer Celo posparto,2022-04-17 16:29,Potrero 5 (7654321-12006),Retorno al celo.
Desparasitacion,2022-04-28 09:13,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2022-05-08 18:21,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2022-06-16 16:05,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Desparasitacion,2022-10-25 15:38,Potrero 5 (7654321-12006),Antiparasitario programado.
Paricion,2023-01-25 17:14,Potrero de paricion,Supervision del parto.
Lactancia,2023-01-27 09:51,Potrero 5 (7654321-12006),Lactancia con ternero.
Servicio (IA o natural),2023-03-10 16:41,Potrero 5 (7654321-12006),Servicio exitoso.
Desparasitacion,2023-04-23 07:09,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2023-05-08 13:50,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Prenez confirmada,2023-05-09 08:49,Potrero 5 (7654321-12006),Diagnostico de gestacion.
Secado,2023-10-19 17:10,Potrero 5 (7654321-12006),Inicio de periodo seco.
Desparasitacion,2023-10-20 15:40,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2024-04-17 13:06,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2024-05-07 08:21,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2024-10-14 18:00,Potrero 5 (7654321-12006),Antiparasitario programado.
Desparasitacion,2025-04-12 08:49,Potrero 5 (7654321-12006),Antiparasitario programado.
Vacunacion clostridial,2025-05-07 10:23,Potrero 5 (7654321-12006),Refuerzo anual clostridial.
Desparasitacion,2025-10-09 10:35,Potrero 5 (7654321-12006),Antiparasitario programado.
