Hito [UY310727955],Fecha y Hora,Ubicación,Nota
Nacimiento,2025-06-06 13:56,Potrero / corral de maternidad,Registro del nacimiento.
Separacion de la madre,2025-06-07 07:01,Corral de terneros / guachera,Separacion para manejo individual.
Primer calostro,2025-06-07 08:45,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2025-06-09 06:47,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2025-06-11 17:09,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2025-06-13 07:14,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2025-06-14 10:08,Manga / campo,Plan sanitario local.
Revision general de salud,2025-06-16 08:05,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2025-07-12 17:48,Oficina / app,Cierre de registro.
Guachera (cria artificial),2025-07-27 13:48,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2025-08-05 06:30,Tambo Antonina (7654321-12001),Vacunacion clostridial
Destete,2025-08-18 06:12,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2025-09-04 07:58,Tambo Antonina (7654321-12001),Vacunacion clostridial
Desparasitacion,2025-09-04 10:02,Tambo Antonina (7654321-12001),Antiparasitario programado.
Recria,2025-09-17 06:50,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2025-11-27 14:37,Manga / campo,Seleccion de reposicion o descarte.
