Hito [UY460027313],Fecha y Hora,Ubicación,Nota
Primer calostro,2023-08-14 10:57,Corral o potrero,Asegurar calostrado.
Nacimiento,2023-08-14 12:03,Potrero de paricion,Registro del nacimiento.
Control de ombligo y signos vitales,2023-08-15 13:11,Instalaciones sanitarias,Revision sanitaria inicial.
Colocacion de caravana oficial,2023-08-19 14:20,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2023-08-21 18:50,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2023-08-23 10:55,Manga / campo,Plan sanitario local.
Revision general de salud,2023-08-28 08:14,Campo / instalaciones,Chequeo clinico.
Castracion (si aplica),2023-09-16 09:07,Brete / campo,Castracion sanitaria.
Carga de nacimiento en SNIG,2023-09-23 08:09,Oficina / app,Cierre de registro.
Vacunacion clostridial,2023-10-13 09:03,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2023-11-12 11:34,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-11-12 17:16,Potrero 6 (7654321-12007),Vacunacion clostridial
Marcacion / caravanas,2023-11-23 06:11,Manga / campo,Marcacion y vacunas.
Destete,2024-03-24 14:55,Potrero de destete,Separacion de la madre.
Lactancia,2024-03-24 15:41,Campo,Permanencia con la madre.
Desparasitacion,2024-05-10 17:02,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2024-11-06 15:15,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-11-11 10:01,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Recria,2024-11-21 15:20,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Engorde / terminacion,2025-02-25 14:45,Campo / suplemento,Inicio de terminacion.
Desparasitacion,2025-05-05 11:06,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-11-01 07:32,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-11-11 16:54,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
