Hitos UY7654321-000129,Fecha,Ubicación,Nota
Nacimiento (Día 0),2022-08-01,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Parto; evaluación inicial del ternero y secado.
Calostrado (Día 0),2022-08-01,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Ingesta de calostro (idealmente en las primeras 2 horas).
Identificación (Día 1),2022-08-02,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Colocación de caravana; registro DICOSE; toma de peso inicial.
Ombligo (Día 3),2022-08-04,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Desinfección y control de ombligo; prevención de onfalitis.
Control sanitario (Día 7),2022-08-08,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Chequeo general; control de diarreas neonatales y temperatura.
Cambio de dieta (Día 14),2022-08-15,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de consumo de concentrado/forraje (según sistema).
Manejo (Día 21),2022-08-22,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Descornado/descorne temprano (si aplica) y/o manejo en manga.
Desparasitación (Día 30),2022-08-31,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Primer antiparasitario (según criterio sanitario del predio).
Control 40 días (Día 40),2022-09-10,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Revisión de crecimiento; condición; ajuste de alimentación.
Destete,2022-10-15,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Fin del período de lactancia del ternero (manejo típico del sistema).
Pubertad / madurez sexual,2023-08-01,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Edad aproximada; se habilita selección para recría o servicio.
Ingreso a servicio,2024-01-23,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Ingreso como reproductor (servicio natural) si cumple evaluación sanitaria y de conformación.
Temporada de servicio #1,2024-01-23,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de temporada de monta/servicio (referencial).
Fin de temporada de servicio #1,2024-04-22,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Cierre de temporada de servicio (referencial).
Temporada de servicio #2,2025-01-22,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Inicio de temporada de monta/servicio (referencial).
Fin de temporada de servicio #2,2025-04-22,"Tambo Antonina (Padrón 11001, Manga: Manga Larga)",Cierre de temporada de servicio (referencial).
