Hito [UY365341213],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-07-06 06:59,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2022-07-07 12:26,Corral o potrero,Asegurar calostrado.
Control de ombligo y signos vitales,2022-07-07 17:16,Instalaciones sanitarias,Revision sanitaria inicial.
Separacion de la madre,2022-07-07 18:46,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2022-07-09 14:03,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2022-07-12 15:55,Oficina / app,Registro del nacimiento.
Vacunas iniciales,2022-07-18 09:58,Manga / campo,Plan sanitario local.
Guachera (cria artificial),2022-07-20 10:28,Guachera,Cria artificial y control sanitario.
Revision general de salud,2022-07-23 17:45,Campo / instalaciones,Chequeo clinico.
Carga de nacimiento en SNIG,2022-08-15 11:48,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-09-04 11:38,Potrero 4 (7654321-12005),Vacunacion clostridial
Destete,2022-09-09 16:04,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2022-10-04 06:49,Potrero 4 (7654321-12005),Vacunacion clostridial
Desparasitacion,2022-10-04 15:35,Potrero 4 (7654321-12005),Antiparasitario programado.
Recria,2023-01-07 08:47,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Desparasitacion,2023-04-02 11:04,Potrero 4 (7654321-12005),Antiparasitario programado.
Primer Celo,2023-04-27 14:16,Potrero 4 (7654321-12005),Primer celo detectado.
Segundo Celo,2023-05-20 08:10,Potrero 4 (7654321-12005),Segundo celo detectado.
Servicio (IA o natural),2023-06-13 10:00,Potrero 4 (7654321-12005),Servicio exitoso.
Tercer Celo,2023-06-13 15:54,Potrero 4 (7654321-12005),Tercer celo detectado.
Servicio (IA o natural),2023-06-13 17:59,Potrero 4 (7654321-12005),Servicio exitoso.
Seleccion,2023-06-24 07:24,Manga / campo,Seleccion de reposicion o descarte.
Prenez confirmada,2023-08-12 08:02,Potrero 4 (7654321-12005),Diagnostico de gestacion.
Prenez confirmada,2023-08-12 11:29,Potrero 4 (7654321-12005),Diagnostico de gestacion.
Desparasitacion,2023-09-29 18:45,Potrero 4 (7654321-12005),Antiparasitario programado.
Primer servicio (hembras),2023-10-04 12:17,Campo / brete / veterinario,Inicio de vida reproductiva.
Vacunacion clostridial,2023-10-04 16:39,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Secado,2024-01-22 08:59,Potrero 4 (7654321-12005),Inicio de periodo seco.
Desparasitacion,2024-03-27 11:33,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2024-09-23 09:11,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2024-10-03 16:19,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
Desparasitacion,2025-03-22 14:04,Potrero 4 (7654321-12005),Antiparasitario programado.
Desparasitacion,2025-09-18 18:32,Potrero 4 (7654321-12005),Antiparasitario programado.
Vacunacion clostridial,2025-10-03 13:50,Potrero 4 (7654321-12005),Refuerzo anual clostridial.
