Hito [UY164112119],Fecha y Hora,Ubicación,Nota
Nacimiento,2018-12-09 17:50,Potrero de paricion,Registro del nacimiento.
Primer calostro,2018-12-10 07:32,Corral o potrero,Asegurar calostrado.
Colocacion de caravana oficial,2018-12-11 10:13,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2018-12-13 10:02,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2018-12-13 14:42,Oficina / app,Registro del nacimiento.
Revision general de salud,2018-12-18 13:37,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2018-12-24 08:30,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2019-01-13 11:36,Oficina / app,Cierre de registro.
Vacunacion clostridial,2019-02-07 15:21,Potrero 6 (7654321-12007),Vacunacion clostridial
Vacunacion clostridial,2019-03-09 13:43,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2019-03-09 15:25,Potrero 6 (7654321-12007),Antiparasitario programado.
Lactancia,2019-03-15 16:37,Campo,Permanencia con la madre.
Marcacion / caravanas,2019-04-05 06:20,Manga / campo,Marcacion y vacunas.
Destete,2019-07-21 07:40,Potrero de destete,Separacion de la madre.
Desparasitacion,2019-09-05 15:01,Potrero 6 (7654321-12007),Antiparasitario programado.
Recria,2020-02-05 06:10,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Desparasitacion,2020-03-03 08:32,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2020-03-08 12:19,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Primer Celo,2020-03-19 11:41,Potrero 6 (7654321-12007),Primer celo detectado.
Seleccion de vientres,2020-03-20 13:21,Manga / potrero,Seleccion de reposicion.
Segundo Celo,2020-04-20 07:11,Potrero 6 (7654321-12007),Segundo celo detectado.
Servicio (IA o natural),2020-05-11 08:29,Potrero 6 (7654321-12007),Servicio exitoso.
Tercer Celo,2020-05-11 11:19,Potrero 6 (7654321-12007),Tercer celo detectado.
Prenez confirmada,2020-07-10 14:11,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2020-08-30 08:59,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2021-02-18 18:01,Potrero de paricion,Supervision del parto.
Lactancia,2021-02-20 13:51,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2021-02-26 10:56,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2021-03-08 06:59,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Primer Celo posparto,2021-04-12 15:29,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2021-04-12 15:36,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2021-06-11 17:27,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2021-08-25 15:44,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2022-01-20 17:25,Potrero de paricion,Supervision del parto.
Lactancia,2022-01-22 13:53,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2022-02-21 14:12,Potrero 6 (7654321-12007),Antiparasitario programado.
Servicio (IA o natural),2022-03-08 09:16,Potrero 6 (7654321-12007),Servicio exitoso.
Vacunacion clostridial,2022-03-08 09:48,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2022-05-07 17:23,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2022-08-20 15:48,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2023-02-16 08:08,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-03-08 14:06,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2023-08-15 16:21,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2024-02-11 18:03,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-03-07 12:27,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-08-09 07:19,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-02-05 18:49,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-03-07 18:17,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2025-08-04 08:51,Potrero 6 (7654321-12007),Antiparasitario programado.
