Hito [UY733953718],Fecha y Hora,Ubicación,Nota
Primer calostro,2017-06-17 11:16,Corral o potrero,Asegurar calostrado.
Nacimiento,2017-06-17 14:07,Potrero de paricion,Registro del nacimiento.
Control de ombligo y signos vitales,2017-06-18 18:41,Instalaciones sanitarias,Revision sanitaria inicial.
Ingreso al sistema (SNIG),2017-06-21 13:19,Oficina / app,Registro del nacimiento.
Colocacion de caravana oficial,2017-06-22 11:07,Manga / campo,Identificacion oficial.
Revision general de salud,2017-07-01 11:15,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2017-07-01 17:00,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2017-07-26 15:45,Oficina / app,Cierre de registro.
Vacunacion clostridial,2017-08-16 06:33,Potrero 6 (7654321-12007),Vacunacion clostridial
Vacunacion clostridial,2017-09-15 08:07,Potrero 6 (7654321-12007),Vacunacion clostridial
Desparasitacion,2017-09-15 10:13,Potrero 6 (7654321-12007),Antiparasitario programado.
Marcacion / caravanas,2017-09-19 15:14,Manga / campo,Marcacion y vacunas.
Destete,2018-01-05 10:18,Potrero de destete,Separacion de la madre.
Lactancia,2018-01-31 16:42,Campo,Permanencia con la madre.
Desparasitacion,2018-03-14 08:52,Potrero 6 (7654321-12007),Antiparasitario programado.
Primer Celo,2018-08-16 09:06,Potrero 6 (7654321-12007),Primer celo detectado.
Segundo Celo,2018-08-31 11:33,Potrero 6 (7654321-12007),Segundo celo detectado.
Desparasitacion,2018-09-10 17:31,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2018-09-15 11:19,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Seleccion de vientres,2018-09-16 14:47,Manga / potrero,Seleccion de reposicion.
Tercer Celo,2018-09-23 15:12,Potrero 6 (7654321-12007),Tercer celo detectado.
Servicio (IA o natural),2018-09-23 18:23,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2018-11-22 13:06,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Recria,2018-12-02 16:08,Campo / pasturas mejoradas,Ganancia de peso y control sanitario.
Desparasitacion,2019-03-09 06:07,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2019-07-03 08:45,Potrero de paricion,Supervision del parto.
Lactancia,2019-07-05 12:53,Potrero 6 (7654321-12007),Lactancia con ternero.
Servicio (IA o natural),2019-08-13 07:03,Potrero 6 (7654321-12007),Servicio exitoso.
Primer Celo posparto,2019-08-13 12:05,Potrero 6 (7654321-12007),Retorno al celo.
Desparasitacion,2019-09-05 14:22,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2019-09-15 11:19,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2019-10-12 12:56,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2020-03-03 07:55,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2020-05-22 08:30,Potrero de paricion,Supervision del parto.
Lactancia,2020-05-24 09:28,Potrero 6 (7654321-12007),Lactancia con ternero.
Primer Celo posparto,2020-08-11 07:23,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2020-08-11 16:33,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2020-08-30 06:26,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2020-09-14 10:31,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2020-10-10 12:37,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2021-02-26 13:36,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2021-05-21 14:33,Potrero de paricion,Supervision del parto.
Lactancia,2021-05-23 18:25,Potrero 6 (7654321-12007),Lactancia con ternero.
Primer Celo posparto,2021-08-03 10:37,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2021-08-03 13:40,Potrero 6 (7654321-12007),Servicio exitoso.
Desparasitacion,2021-08-25 10:36,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2021-09-14 06:50,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Prenez confirmada,2021-10-02 12:28,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2022-02-21 13:57,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2022-05-13 17:59,Potrero de paricion,Supervision del parto.
Lactancia,2022-05-15 13:46,Potrero 6 (7654321-12007),Lactancia con ternero.
Servicio (IA o natural),2022-07-03 08:09,Potrero 6 (7654321-12007),Servicio exitoso.
Primer Celo posparto,2022-07-03 12:52,Potrero 6 (7654321-12007),Retorno al celo.
Desparasitacion,2022-08-20 11:50,Potrero 6 (7654321-12007),Antiparasitario programado.
Prenez confirmada,2022-09-01 14:08,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Vacunacion clostridial,2022-09-14 08:09,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2023-02-16 12:30,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2023-04-12 13:45,Potrero de paricion,Supervision del parto.
Lactancia,2023-04-14 13:08,Potrero 6 (7654321-12007),Lactancia con ternero.
Servicio (IA o natural),2023-05-20 14:07,Potrero 6 (7654321-12007),Servicio exitoso.
Primer Celo posparto,2023-05-20 17:32,Potrero 6 (7654321-12007),Retorno al celo.
Prenez confirmada,2023-07-19 17:13,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2023-08-15 17:53,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2023-09-14 18:37,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Desparasitacion,2024-02-11 15:08,Potrero 6 (7654321-12007),Antiparasitario programado.
Paricion,2024-02-27 13:30,Potrero de paricion,Supervision del parto.
Lactancia,2024-02-29 06:47,Potrero 6 (7654321-12007),Lactancia con ternero.
Primer Celo posparto,2024-04-16 08:35,Potrero 6 (7654321-12007),Retorno al celo.
Servicio (IA o natural),2024-04-16 11:58,Potrero 6 (7654321-12007),Servicio exitoso.
Prenez confirmada,2024-06-15 07:38,Potrero 6 (7654321-12007),Diagnostico de gestacion.
Desparasitacion,2024-08-09 18:08,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2024-09-13 12:03,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Paricion,2025-01-24 12:07,Potrero de paricion,Supervision del parto.
Lactancia,2025-01-26 07:23,Potrero 6 (7654321-12007),Lactancia con ternero.
Desparasitacion,2025-02-05 14:40,Potrero 6 (7654321-12007),Antiparasitario programado.
Desparasitacion,2025-08-04 13:48,Potrero 6 (7654321-12007),Antiparasitario programado.
Vacunacion clostridial,2025-09-13 10:56,Potrero 6 (7654321-12007),Refuerzo anual clostridial.
Celo detectado,2025-12-11 15:18,Potrero 6 (7654321-12007),En espera de servicio.
